,Name,Type,cam-b3lyp-DFT-forward,REF-forward,cam-b3lyp-DELTA-forward,cam-b3lyp-DFT-reverse,REF-reverse,cam-b3lyp-DELTA-reverse,cam-b3lyp-DFT-reaction,REF-reaction,cam-b3lyp-DELTA-reaction
22,02_23,Diels-Alder,30.542,24.81,5.732,57.042,57.02,0.022,-26.5,-32.21,5.710
23,02_24,Diels-Alder,32.175,26.62,5.555,73.817,73.95,-0.133,-41.642,-47.33,5.688
24,02_25,Diels-Alder,29.64,23.55,6.090,54.947,54.52,0.427,-25.307,-30.97,5.663
25,02_26,Diels-Alder,35.112,27.83,7.282,47.598,47.79,-0.192,-12.486,-19.96,7.474
26,02_27,Diels-Alder,36.782,29.6,7.182,49.513,50.22,-0.707,-12.731,-20.62,7.889
27,02_28,Diels-Alder,28.153,21.69,6.463,36.633,38.32,-1.687,-8.48,-16.63,8.150
28,02_29,Diels-Alder,13.731,1.65,12.081,33.708,35.57,-1.862,-19.977,-33.92,13.943
29,02_30,Diels-Alder,18.767,7.98,10.787,51.261,55.02,-3.759,-32.494,-47.04,14.546
30,02_31,Diels-Alder,28.33,15.12,13.210,31.026,36.68,-5.654,-2.695,-21.56,18.865
31,02_32,Diels-Alder,17.356,6.61,10.746,50.636,54.79,-4.154,-33.28,-48.18,14.900
32,02_33,Diels-Alder,16.612,11.62,4.992,52.166,53.25,-1.084,-35.554,-41.63,6.076
33,02_34,Diels-Alder,21.42,18.28,3.140,28.641,30.48,-1.839,-7.22,-12.21,4.990
34,02_35,Diels-Alder,19.201,16.53,2.671,28.176,29.81,-1.634,-8.975,-13.28,4.305
35,02_36,Diels-Alder,17.258,15.49,1.768,31.889,33.65,-1.761,-14.631,-18.16,3.529
36,02_37,Diels-Alder,19.059,17.0,2.059,31.886,34.43,-2.544,-12.827,-17.43,4.603
37,02_38,Diels-Alder,28.401,22.73,5.671,36.315,36.09,0.225,-7.914,-13.36,5.446
38,02_39,Diels-Alder,42.378,37.42,4.958,39.009,39.32,-0.311,3.369,-1.9,5.269
39,02_40,Diels-Alder,26.033,14.26,11.773,24.569,27.77,-3.201,1.463,-13.51,14.973
40,02_41,Diels-Alder,40.668,28.06,12.608,28.453,31.78,-3.327,12.215,-3.72,15.935
41,02_42,Diels-Alder,18.601,8.58,10.021,47.296,47.74,-0.444,-28.695,-39.15,10.455
42,02_43,Diels-Alder,26.699,16.35,10.349,48.636,48.76,-0.124,-21.936,-32.41,10.474
43,02_44,Diels-Alder,25.308,16.64,8.668,52.161,53.18,-1.019,-26.853,-36.54,9.687
44,02_45,Diels-Alder,23.254,16.98,6.274,59.304,59.46,-0.156,-36.05,-42.48,6.430
45,02_46,Diels-Alder,35.087,26.48,8.607,50.623,51.36,-0.737,-15.536,-24.88,9.344
46,02_47,Diels-Alder,3.862,-1.34,5.202,85.994,88.51,-2.516,-82.132,-89.85,7.718
47,02_48,Diels-Alder,8.03,1.98,6.050,84.729,86.44,-1.711,-76.699,-84.47,7.771
48,02_49,Diels-Alder,25.751,13.95,11.801,47.144,47.2,-0.056,-21.392,-33.24,11.848
49,02_50,[3+2]cycloaddition,22.885,18.44,4.445,34.264,35.48,-1.216,-11.379,-17.04,5.661
50,02_51,[3+2]cycloaddition,2.933,-1.95,4.883,22.956,24.26,-1.304,-20.023,-26.21,6.187
51,02_52,[3+2]cycloaddition,19.563,12.39,7.173,36.608,36.11,0.498,-17.045,-23.72,6.675
52,02_53,[3+2]cycloaddition,17.874,10.45,7.424,35.571,35.89,-0.319,-17.697,-25.44,7.743
53,02_54,[3+2]cycloaddition,4.607,-0.12,4.727,24.963,26.38,-1.417,-20.355,-26.5,6.145
54,02_55,[3+2]cycloaddition,17.22,12.65,4.570,54.994,52.78,2.214,-37.774,-40.12,2.346
55,02_56,[3+2]cycloaddition,15.576,11.6,3.976,94.548,91.82,2.728,-78.972,-80.21,1.238
56,02_57,[3+2]cycloaddition,14.408,8.1,6.308,88.599,84.96,3.639,-74.191,-76.87,2.679
57,02_58,[3+2]cycloaddition,20.157,15.43,4.727,69.761,68.29,1.471,-49.604,-52.86,3.256
58,02_59,[3+2]cycloaddition,20.117,15.3,4.817,69.119,67.99,1.129,-49.002,-52.69,3.688
59,02_60,[3+2]cycloaddition,11.443,5.93,5.513,89.129,86.94,2.189,-77.686,-81.0,3.314
60,02_61,[3+2]cycloaddition,6.189,0.41,5.779,51.184,56.6,-5.416,-44.995,-56.19,11.195
61,02_62,[3+2]cycloaddition,10.933,3.87,7.063,54.314,58.42,-4.106,-43.38,-54.55,11.170
62,02_63,[3+2]cycloaddition,19.683,16.87,2.813,38.918,41.5,-2.582,-19.235,-24.63,5.395
63,02_64,[3+2]cycloaddition,8.58,5.38,3.200,47.251,50.91,-3.659,-38.672,-45.54,6.868
64,02_65,[3+2]cycloaddition,10.746,8.08,2.666,52.66,56.87,-4.210,-41.914,-48.79,6.876
65,02_66,[3+2]cycloaddition,9.745,6.79,2.955,49.84,55.77,-5.930,-40.095,-48.98,8.885
66,02_67,[3+2]cycloaddition,14.254,6.93,7.324,31.819,34.09,-2.271,-17.565,-27.16,9.595
67,02_68,[3+2]cycloaddition,16.711,8.7,8.011,32.957,35.15,-2.193,-16.246,-26.45,10.204
68,02_69,[3+2]cycloaddition,21.786,13.35,8.436,37.361,38.42,-1.059,-15.575,-25.07,9.495
69,02_70,[3+2]cycloaddition,43.307,33.3,10.007,40.619,41.8,-1.181,2.688,-8.51,11.198
70,02_71,[3+2]cycloaddition,44.269,34.78,9.489,39.85,40.16,-0.310,4.419,-5.38,9.799
71,02_72,[3+2]cycloaddition,30.156,26.38,3.776,51.195,51.44,-0.245,-21.039,-25.06,4.021
72,02_73,[3+2]cycloaddition,17.76,10.06,7.700,43.01,45.53,-2.520,-25.25,-35.47,10.220
73,02_74,[3+2]cycloaddition,30.032,27.86,2.172,23.126,26.23,-3.104,6.907,1.63,5.277
74,02_75,[3+2]cycloaddition,18.607,9.79,8.817,39.188,41.83,-2.642,-20.581,-32.04,11.459
75,02_76,[3+2]cycloaddition,22.249,20.35,1.899,33.753,37.37,-3.617,-11.504,-17.02,5.516
76,02_77,[3+2]cycloaddition,15.531,6.99,8.541,43.59,46.28,-2.690,-28.059,-39.3,11.241
77,02_78,[3+2]cycloaddition,22.514,19.13,3.384,35.138,38.27,-3.132,-12.625,-19.14,6.515
78,02_79,[3+2]cycloaddition,10.316,1.94,8.376,39.54,42.25,-2.710,-29.224,-40.31,11.086
79,02_80,[3+2]cycloaddition,31.965,28.38,3.585,38.761,41.25,-2.489,-6.796,-12.87,6.074
80,02_81,[3+2]cycloaddition,20.103,11.14,8.963,39.747,43.06,-3.313,-19.644,-31.92,12.276
81,02_82,Electrocyclic,18.982,10.61,8.372,34.648,37.95,-3.302,-15.667,-27.34,11.673
82,02_83,Electrocyclic,15.764,17.65,-1.886,46.901,44.98,1.921,-31.137,-27.33,-3.807
83,02_84,Electrocyclic,28.704,26.68,2.024,50.035,50.51,-0.475,-21.33,-23.83,2.500
84,02_85,Electrocyclic,32.694,30.66,2.034,51.075,51.43,-0.355,-18.381,-20.78,2.399
85,02_86,Electrocyclic,33.22,27.74,5.480,56.036,52.7,3.336,-22.816,-24.96,2.144
86,02_87,Electrocyclic,34.9,30.73,4.170,55.607,53.65,1.957,-20.707,-22.91,2.203
87,02_88,Electrocyclic,26.541,24.91,1.631,51.564,51.36,0.204,-25.023,-26.45,1.427
88,02_89,Electrocyclic,29.897,28.62,1.277,52.948,52.88,0.068,-23.051,-24.26,1.209
89,02_90,Electrocyclic,28.98,27.43,1.550,52.007,52.17,-0.163,-23.027,-24.74,1.713
90,02_91,Electrocyclic,32.608,31.0,1.608,54.597,54.55,0.047,-21.988,-23.55,1.562
91,02_92,Electrocyclic,25.53,23.66,1.870,54.731,53.48,1.251,-29.201,-29.82,0.619
92,02_93,Electrocyclic,30.546,28.69,1.856,56.686,54.95,1.736,-26.14,-26.26,0.120
93,02_94,Electrocyclic,26.916,25.6,1.316,54.761,54.46,0.301,-27.844,-28.86,1.016
94,02_95,Electrocyclic,29.26,28.02,1.240,56.198,55.88,0.318,-26.938,-27.86,0.922
95,02_96,Electrocyclic,9.655,11.39,-1.735,15.302,15.19,0.112,-5.647,-3.8,-1.847
96,02_97,Electrocyclic,44.344,43.52,0.824,21.87,21.76,0.110,22.474,21.76,0.714
97,02_98,Electrocyclic,32.993,33.08,-0.087,48.883,45.42,3.463,-15.891,-12.34,-3.551
98,02_99,Electrocyclic,46.221,44.28,1.941,59.355,54.35,5.005,-13.134,-10.07,-3.064
99,02_100,Electrocyclic,36.982,36.07,0.912,20.312,19.79,0.522,16.67,16.28,0.390
100,02_101,Electrocyclic,44.275,41.8,2.475,50.377,45.81,4.567,-6.102,-4.01,-2.092
101,02_102,Electrocyclic,40.827,38.73,2.097,37.484,36.55,0.934,3.343,2.18,1.163
102,02_103,Electrocyclic,39.374,36.24,3.134,37.979,36.68,1.299,1.396,-0.44,1.836
103,02_104,Electrocyclic,13.469,13.1,0.369,41.196,40.49,0.706,-27.728,-27.39,-0.338
104,02_105,Electrocyclic,53.221,48.25,4.971,44.503,42.24,2.263,8.718,6.01,2.708
105,02_106,[4+6]cycloaddition,25.672,11.53,14.142,27.426,29.79,-2.364,-1.755,-18.26,16.505
106,02_107,[6+4]cycloaddition,25.672,11.53,14.142,33.398,36.38,-2.982,-7.727,-24.85,17.123
107,02_108,[8+2]cycloaddition,25.672,11.53,14.142,35.14,35.01,0.130,-9.469,-23.48,14.011
108,02_109,"[3,3]rearrangement",50.477,43.45,7.027,58.252,50.58,7.672,-7.775,-7.13,-0.645
109,02_110,"[3,3]rearrangement",50.477,43.45,7.027,62.336,57.37,4.966,-11.859,-13.92,2.061
110,02_111,"[3,3]rearrangement",45.161,36.96,8.201,57.619,51.17,6.449,-12.458,-14.22,1.762
111,02_112,[4+6]cycloaddition,26.892,12.84,14.052,28.495,31.12,-2.625,-1.603,-18.28,16.677
112,02_113,[6+4]cycloaddition,26.892,12.84,14.052,33.562,36.75,-3.188,-6.67,-23.91,17.240
113,02_114,[8+2]cycloaddition,26.892,12.84,14.052,35.938,37.94,-2.002,-9.046,-25.1,16.054
114,02_115,[4+6]cycloaddition,26.705,11.83,14.875,28.307,30.11,-1.803,-1.603,-18.28,16.677
115,02_116,[6+4]cycloaddition,26.705,11.83,14.875,33.425,35.81,-2.385,-6.72,-23.98,17.260
116,02_117,[8+2]cycloaddition,26.705,11.83,14.875,41.311,40.21,1.101,-14.606,-28.38,13.774
117,02_118,[4+2]intramolecular,29.001,22.52,6.481,40.358,41.61,-1.252,-11.357,-19.09,7.733
118,02_119,[6+4]intramolecular,25.641,18.91,6.731,45.318,47.58,-2.262,-19.678,-28.67,8.992
119,02_120,[4+2]intramolecular,23.212,16.79,6.422,40.918,43.12,-2.202,-17.706,-26.33,8.624
120,02_121,[6+4]intramolecular,23.212,16.79,6.422,52.564,54.33,-1.766,-29.351,-37.54,8.189
121,02_122,[4+2]intramolecular,25.26,19.29,5.970,33.695,37.46,-3.765,-8.435,-18.17,9.735
122,02_123,[6+4]intramolecular,25.26,19.29,5.970,40.374,41.95,-1.576,-15.114,-22.66,7.546
123,02_124,[4+2]intramolecular,26.36,21.68,4.680,44.504,46.02,-1.516,-18.144,-24.34,6.196
124,02_125,[6+4]intramolecular,26.36,21.68,4.680,44.873,47.32,-2.447,-18.513,-25.64,7.127
125,02_126,"[3,3]rearrangement",22.047,20.25,1.797,27.007,26.19,0.817,-4.96,-5.95,0.990
126,02_127,"[3,3]rearrangement",22.119,20.95,1.169,33.765,32.16,1.605,-11.646,-11.21,-0.436
127,02_128,"[3,3]rearrangement",34.008,32.74,1.268,47.04,41.45,5.590,-13.032,-8.71,-4.322
128,02_129,"[3,3]rearrangement",36.663,34.42,2.243,44.115,40.15,3.965,-7.452,-5.73,-1.722
129,02_130,"[3,3]rearrangement",36.63,35.4,1.230,46.682,43.32,3.362,-10.051,-7.92,-2.131
130,02_131,"[3,3]rearrangement",32.961,32.39,0.571,48.32,43.38,4.940,-15.359,-10.99,-4.369
131,02_132,"[3,3]rearrangement",35.229,32.92,2.309,45.445,41.1,4.345,-10.215,-8.18,-2.035
132,02_133,"[3,3]rearrangement",34.95,33.84,1.110,48.85,44.83,4.020,-13.901,-10.99,-2.911
133,02_134,"[3,3]rearrangement",34.806,32.08,2.726,51.085,49.61,1.475,-16.28,-17.53,1.250
134,02_135,"[3,3]rearrangement",31.935,28.35,3.585,45.151,44.42,0.731,-13.216,-16.07,2.854
135,02_136,"[3,3]rearrangement",32.237,29.79,2.447,47.123,45.83,1.293,-14.887,-16.04,1.153
136,02_137,"[3,3]rearrangement",31.197,25.98,5.217,43.291,41.35,1.941,-12.094,-15.37,3.276
137,02_138,"[3,3]rearrangement",34.18,31.94,2.240,27.257,28.09,-0.833,6.923,3.85,3.073
138,02_139,"[3,3]rearrangement",38.594,34.37,4.224,52.871,50.96,1.911,-14.277,-16.59,2.313
139,02_140,[2+2+2]intramolecular,59.019,54.84,4.179,150.193,144.39,5.803,-91.174,-89.55,-1.624
