,Name,Type,pbe-qidh-DFT-forward,REF-forward,pbe-qidh-DELTA-forward,pbe-qidh-DFT-reverse,REF-reverse,pbe-qidh-DELTA-reverse,pbe-qidh-DFT-reaction,REF-reaction,pbe-qidh-DELTA-reaction
129,02_130,"[3,3]rearrangement",33.754,35.4,-1.646,42.734,43.32,-0.586,-8.98,-7.92,-1.060
130,02_131,"[3,3]rearrangement",29.723,32.39,-2.667,42.861,43.38,-0.519,-13.138,-10.99,-2.148
131,02_132,"[3,3]rearrangement",31.571,32.92,-1.349,40.592,41.1,-0.508,-9.02,-8.18,-0.840
132,02_133,"[3,3]rearrangement",31.767,33.84,-2.073,44.266,44.83,-0.564,-12.5,-10.99,-1.510
133,02_134,"[3,3]rearrangement",31.908,32.08,-0.172,50.43,49.61,0.820,-18.522,-17.53,-0.992
134,02_135,"[3,3]rearrangement",28.068,28.35,-0.282,44.172,44.42,-0.248,-16.105,-16.07,-0.035
135,02_136,"[3,3]rearrangement",29.591,29.79,-0.199,46.641,45.83,0.811,-17.051,-16.04,-1.011
136,02_137,"[3,3]rearrangement",25.339,25.98,-0.641,41.356,41.35,0.006,-16.017,-15.37,-0.647
137,02_138,"[3,3]rearrangement",31.548,31.94,-0.392,26.2,28.09,-1.890,5.348,3.85,1.498
138,02_139,"[3,3]rearrangement",34.471,34.37,0.101,51.93,50.96,0.970,-17.459,-16.59,-0.869
139,02_140,[2+2+2]intramolecular,51.391,54.84,-3.449,157.325,144.39,12.935,-105.934,-89.55,-16.384
