,Name,Type,pbe0-DFT-forward,REF-forward,pbe0-DELTA-forward,pbe0-DFT-reverse,REF-reverse,pbe0-DELTA-reverse,pbe0-DFT-reaction,REF-reaction,pbe0-DELTA-reaction
42,02_43,Diels-Alder,19.203,16.35,2.853,47.847,48.76,-0.913,-28.644,-32.41,3.766
43,02_44,Diels-Alder,17.782,16.64,1.142,51.071,53.18,-2.109,-33.289,-36.54,3.251
44,02_45,Diels-Alder,15.765,16.98,-1.215,60.423,59.46,0.963,-44.658,-42.48,-2.178
45,02_46,Diels-Alder,26.472,26.48,-0.008,48.808,51.36,-2.552,-22.335,-24.88,2.545
46,02_47,Diels-Alder,0.721,-1.34,2.061,90.216,88.51,1.706,-89.495,-89.85,0.355
47,02_48,Diels-Alder,3.859,1.98,1.879,86.601,86.44,0.161,-82.742,-84.47,1.728
48,02_49,Diels-Alder,16.621,13.95,2.671,45.309,47.2,-1.891,-28.688,-33.24,4.552
49,02_50,[3+2]cycloaddition,18.226,18.44,-0.214,33.585,35.48,-1.895,-15.359,-17.04,1.681
50,02_51,[3+2]cycloaddition,-0.126,-1.95,1.824,23.559,24.26,-0.701,-23.685,-26.21,2.525
51,02_52,[3+2]cycloaddition,15.095,12.39,2.705,34.383,36.11,-1.727,-19.288,-23.72,4.432
52,02_53,[3+2]cycloaddition,14.333,10.45,3.883,33.457,35.89,-2.433,-19.124,-25.44,6.316
53,02_54,[3+2]cycloaddition,2.928,-0.12,3.048,24.466,26.38,-1.914,-21.539,-26.5,4.961
54,02_55,[3+2]cycloaddition,14.289,12.65,1.639,53.817,52.78,1.037,-39.528,-40.12,0.592
55,02_56,[3+2]cycloaddition,12.791,11.6,1.191,96.006,91.82,4.186,-83.216,-80.21,-3.006
56,02_57,[3+2]cycloaddition,11.504,8.1,3.404,89.101,84.96,4.141,-77.597,-76.87,-0.727
57,02_58,[3+2]cycloaddition,17.038,15.43,1.608,69.475,68.29,1.185,-52.438,-52.86,0.422
58,02_59,[3+2]cycloaddition,16.959,15.3,1.659,68.825,67.99,0.835,-51.866,-52.69,0.824
59,02_60,[3+2]cycloaddition,8.752,5.93,2.822,91.008,86.94,4.068,-82.256,-81.0,-1.256
60,02_61,[3+2]cycloaddition,3.704,0.41,3.294,52.413,56.6,-4.187,-48.709,-56.19,7.481
61,02_62,[3+2]cycloaddition,7.817,3.87,3.947,55.137,58.42,-3.283,-47.32,-54.55,7.230
62,02_63,[3+2]cycloaddition,16.279,16.87,-0.591,39.862,41.5,-1.638,-23.583,-24.63,1.047
63,02_64,[3+2]cycloaddition,5.333,5.38,-0.047,48.424,50.91,-2.486,-43.091,-45.54,2.449
64,02_65,[3+2]cycloaddition,7.778,8.08,-0.302,53.743,56.87,-3.127,-45.965,-48.79,2.825
65,02_66,[3+2]cycloaddition,7.594,6.79,0.804,51.74,55.77,-4.030,-44.146,-48.98,4.834
66,02_67,[3+2]cycloaddition,11.211,6.93,4.281,29.91,34.09,-4.180,-18.699,-27.16,8.461
67,02_68,[3+2]cycloaddition,13.595,8.7,4.895,30.948,35.15,-4.202,-17.354,-26.45,9.096
68,02_69,[3+2]cycloaddition,17.963,13.35,4.613,35.453,38.42,-2.967,-17.49,-25.07,7.580
69,02_70,[3+2]cycloaddition,38.465,33.3,5.165,39.63,41.8,-2.170,-1.165,-8.51,7.345
70,02_71,[3+2]cycloaddition,39.291,34.78,4.511,38.093,40.16,-2.067,1.198,-5.38,6.578
71,02_72,[3+2]cycloaddition,26.515,26.38,0.135,50.08,51.44,-1.360,-23.565,-25.06,1.495
72,02_73,[3+2]cycloaddition,12.602,10.06,2.542,41.874,45.53,-3.656,-29.272,-35.47,6.198
73,02_74,[3+2]cycloaddition,23.924,27.86,-3.936,21.575,26.23,-4.655,2.348,1.63,0.718
74,02_75,[3+2]cycloaddition,13.115,9.79,3.325,38.15,41.83,-3.680,-25.035,-32.04,7.005
75,02_76,[3+2]cycloaddition,16.336,20.35,-4.014,32.122,37.37,-5.248,-15.786,-17.02,1.234
76,02_77,[3+2]cycloaddition,10.152,6.99,3.162,42.357,46.28,-3.923,-32.205,-39.3,7.095
77,02_78,[3+2]cycloaddition,16.093,19.13,-3.037,33.603,38.27,-4.667,-17.511,-19.14,1.629
78,02_79,[3+2]cycloaddition,5.491,1.94,3.551,38.642,42.25,-3.608,-33.151,-40.31,7.159
79,02_80,[3+2]cycloaddition,26.035,28.38,-2.345,37.015,41.25,-4.235,-10.98,-12.87,1.890
80,02_81,[3+2]cycloaddition,14.739,11.14,3.599,38.742,43.06,-4.318,-24.003,-31.92,7.917
81,02_82,Electrocyclic,12.588,10.61,1.978,32.836,37.95,-5.114,-20.248,-27.34,7.092
82,02_83,Electrocyclic,16.104,17.65,-1.546,44.718,44.98,-0.262,-28.615,-27.33,-1.285
83,02_84,Electrocyclic,24.116,26.68,-2.564,48.169,50.51,-2.341,-24.052,-23.83,-0.222
84,02_85,Electrocyclic,27.874,30.66,-2.786,49.16,51.43,-2.270,-21.286,-20.78,-0.506
85,02_86,Electrocyclic,28.512,27.74,0.772,53.825,52.7,1.125,-25.313,-24.96,-0.353
86,02_87,Electrocyclic,29.747,30.73,-0.983,53.058,53.65,-0.592,-23.311,-22.91,-0.401
87,02_88,Electrocyclic,21.769,24.91,-3.141,49.617,51.36,-1.743,-27.848,-26.45,-1.398
88,02_89,Electrocyclic,24.862,28.62,-3.758,50.917,52.88,-1.963,-26.056,-24.26,-1.796
89,02_90,Electrocyclic,24.466,27.43,-2.964,50.024,52.17,-2.146,-25.558,-24.74,-0.818
90,02_91,Electrocyclic,27.875,31.0,-3.125,52.522,54.55,-2.028,-24.648,-23.55,-1.098
91,02_92,Electrocyclic,19.921,23.66,-3.739,52.165,53.48,-1.315,-32.244,-29.82,-2.424
92,02_93,Electrocyclic,25.051,28.69,-3.639,53.923,54.95,-1.027,-28.872,-26.26,-2.612
93,02_94,Electrocyclic,21.337,25.6,-4.263,52.566,54.46,-1.894,-31.229,-28.86,-2.369
94,02_95,Electrocyclic,23.639,28.02,-4.381,53.978,55.88,-1.902,-30.338,-27.86,-2.478
95,02_96,Electrocyclic,9.96,11.39,-1.430,14.704,15.19,-0.486,-4.744,-3.8,-0.944
96,02_97,Electrocyclic,42.591,43.52,-0.929,17.91,21.76,-3.850,24.681,21.76,2.921
97,02_98,Electrocyclic,32.415,33.08,-0.665,44.962,45.42,-0.458,-12.547,-12.34,-0.207
98,02_99,Electrocyclic,45.682,44.28,1.402,55.624,54.35,1.274,-9.942,-10.07,0.128
99,02_100,Electrocyclic,36.271,36.07,0.201,16.789,19.79,-3.001,19.482,16.28,3.202
100,02_101,Electrocyclic,43.439,41.8,1.639,45.411,45.81,-0.399,-1.972,-4.01,2.038
101,02_102,Electrocyclic,36.62,38.73,-2.110,37.074,36.55,0.524,-0.453,2.18,-2.633
102,02_103,Electrocyclic,35.126,36.24,-1.114,37.471,36.68,0.791,-2.345,-0.44,-1.905
103,02_104,Electrocyclic,10.329,13.1,-2.771,40.868,40.49,0.378,-30.539,-27.39,-3.149
104,02_105,Electrocyclic,48.642,48.25,0.392,44.004,42.24,1.764,4.637,6.01,-1.373
105,02_106,[4+6]cycloaddition,15.686,11.53,4.156,21.287,29.79,-8.503,-5.601,-18.26,12.659
106,02_107,[6+4]cycloaddition,15.686,11.53,4.156,27.04,36.38,-9.340,-11.354,-24.85,13.496
107,02_108,[8+2]cycloaddition,15.686,11.53,4.156,28.641,35.01,-6.369,-12.955,-23.48,10.525
108,02_109,"[3,3]rearrangement",43.389,43.45,-0.061,54.328,50.58,3.748,-10.939,-7.13,-3.809
109,02_110,"[3,3]rearrangement",43.389,43.45,-0.061,54.698,57.37,-2.672,-11.31,-13.92,2.610
110,02_111,"[3,3]rearrangement",38.289,36.96,1.329,50.29,51.17,-0.880,-12.002,-14.22,2.218
111,02_112,[4+6]cycloaddition,17.003,12.84,4.163,22.297,31.12,-8.823,-5.294,-18.28,12.986
112,02_113,[6+4]cycloaddition,17.003,12.84,4.163,27.225,36.75,-9.525,-10.222,-23.91,13.688
113,02_114,[8+2]cycloaddition,17.003,12.84,4.163,29.606,37.94,-8.334,-12.603,-25.1,12.497
114,02_115,[4+6]cycloaddition,16.886,11.83,5.056,22.18,30.11,-7.930,-5.294,-18.28,12.986
115,02_116,[6+4]cycloaddition,16.886,11.83,5.056,27.007,35.81,-8.803,-10.121,-23.98,13.859
116,02_117,[8+2]cycloaddition,16.886,11.83,5.056,34.629,40.21,-5.581,-17.743,-28.38,10.637
117,02_118,[4+2]intramolecular,20.305,22.52,-2.215,36.107,41.61,-5.503,-15.802,-19.09,3.288
118,02_119,[6+4]intramolecular,16.946,18.91,-1.964,41.457,47.58,-6.123,-24.511,-28.67,4.159
119,02_120,[4+2]intramolecular,14.377,16.79,-2.413,37.115,43.12,-6.005,-22.738,-26.33,3.592
120,02_121,[6+4]intramolecular,14.377,16.79,-2.413,48.415,54.33,-5.915,-34.038,-37.54,3.502
121,02_122,[4+2]intramolecular,14.696,19.29,-4.594,28.382,37.46,-9.078,-13.686,-18.17,4.484
122,02_123,[6+4]intramolecular,14.696,19.29,-4.594,35.356,41.95,-6.594,-20.66,-22.66,2.000
123,02_124,[4+2]intramolecular,17.297,21.68,-4.383,40.318,46.02,-5.702,-23.022,-24.34,1.318
124,02_125,[6+4]intramolecular,17.297,21.68,-4.383,41.316,47.32,-6.004,-24.019,-25.64,1.621
125,02_126,"[3,3]rearrangement",17.279,20.25,-2.971,22.629,26.19,-3.561,-5.35,-5.95,0.600
126,02_127,"[3,3]rearrangement",17.464,20.95,-3.486,28.765,32.16,-3.395,-11.3,-11.21,-0.090
127,02_128,"[3,3]rearrangement",28.401,32.74,-4.339,43.795,41.45,2.345,-15.394,-8.71,-6.684
128,02_129,"[3,3]rearrangement",31.225,34.42,-3.195,40.691,40.15,0.541,-9.466,-5.73,-3.736
129,02_130,"[3,3]rearrangement",31.09,35.4,-4.310,43.28,43.32,-0.040,-12.19,-7.92,-4.270
130,02_131,"[3,3]rearrangement",27.269,32.39,-5.121,44.988,43.38,1.608,-17.719,-10.99,-6.729
131,02_132,"[3,3]rearrangement",29.732,32.92,-3.188,41.91,41.1,0.810,-12.177,-8.18,-3.997
132,02_133,"[3,3]rearrangement",29.281,33.84,-4.559,45.271,44.83,0.441,-15.99,-10.99,-5.000
133,02_134,"[3,3]rearrangement",30.632,32.08,-1.448,48.289,49.61,-1.321,-17.656,-17.53,-0.126
134,02_135,"[3,3]rearrangement",27.702,28.35,-0.648,41.643,44.42,-2.777,-13.941,-16.07,2.129
135,02_136,"[3,3]rearrangement",28.056,29.79,-1.734,44.103,45.83,-1.727,-16.047,-16.04,-0.007
136,02_137,"[3,3]rearrangement",25.627,25.98,-0.353,39.472,41.35,-1.878,-13.845,-15.37,1.525
137,02_138,"[3,3]rearrangement",29.714,31.94,-2.226,24.219,28.09,-3.871,5.495,3.85,1.645
138,02_139,"[3,3]rearrangement",34.558,34.37,0.188,50.334,50.96,-0.626,-15.776,-16.59,0.814
139,02_140,[2+2+2]intramolecular,49.431,54.84,-5.409,155.524,144.39,11.134,-106.093,-89.55,-16.543
