,Name,Type,wb97x-v-DFT-forward,REF-forward,wb97x-v-DELTA-forward,wb97x-v-DFT-reverse,REF-reverse,wb97x-v-DELTA-reverse,wb97x-v-DFT-reaction,REF-reaction,wb97x-v-DELTA-reaction
82,02_83,Electrocyclic,19.023,17.65,1.373,45.105,44.98,0.125,-26.083,-27.33,1.247
83,02_84,Electrocyclic,28.146,26.68,1.466,54.507,50.51,3.997,-26.362,-23.83,-2.532
84,02_85,Electrocyclic,31.783,30.66,1.123,55.517,51.43,4.087,-23.735,-20.78,-2.955
85,02_86,Electrocyclic,28.607,27.74,0.867,56.456,52.7,3.756,-27.849,-24.96,-2.889
86,02_87,Electrocyclic,31.635,30.73,0.905,57.836,53.65,4.186,-26.201,-22.91,-3.291
87,02_88,Electrocyclic,26.491,24.91,1.581,55.376,51.36,4.016,-28.885,-26.45,-2.435
88,02_89,Electrocyclic,29.863,28.62,1.243,57.206,52.88,4.326,-27.342,-24.26,-3.082
89,02_90,Electrocyclic,28.721,27.43,1.291,56.338,52.17,4.168,-27.617,-24.74,-2.877
90,02_91,Electrocyclic,32.004,31.0,1.004,58.874,54.55,4.324,-26.87,-23.55,-3.320
91,02_92,Electrocyclic,25.864,23.66,2.204,57.751,53.48,4.271,-31.887,-29.82,-2.067
92,02_93,Electrocyclic,30.157,28.69,1.467,59.158,54.95,4.208,-29.001,-26.26,-2.741
93,02_94,Electrocyclic,27.818,25.6,2.218,58.677,54.46,4.217,-30.859,-28.86,-1.999
94,02_95,Electrocyclic,29.95,28.02,1.930,60.373,55.88,4.493,-30.423,-27.86,-2.563
95,02_96,Electrocyclic,12.632,11.39,1.242,14.766,15.19,-0.424,-2.133,-3.8,1.667
96,02_97,Electrocyclic,47.462,43.52,3.942,22.109,21.76,0.349,25.353,21.76,3.593
97,02_98,Electrocyclic,36.571,33.08,3.491,46.564,45.42,1.144,-9.992,-12.34,2.348
98,02_99,Electrocyclic,48.91,44.28,4.630,56.462,54.35,2.112,-7.552,-10.07,2.518
99,02_100,Electrocyclic,40.125,36.07,4.055,19.767,19.79,-0.023,20.358,16.28,4.078
100,02_101,Electrocyclic,46.74,41.8,4.940,48.579,45.81,2.769,-1.839,-4.01,2.171
101,02_102,Electrocyclic,40.389,38.73,1.659,40.972,36.55,4.422,-0.583,2.18,-2.763
102,02_103,Electrocyclic,37.944,36.24,1.704,40.995,36.68,4.315,-3.051,-0.44,-2.611
103,02_104,Electrocyclic,12.792,13.1,-0.308,44.714,40.49,4.224,-31.922,-27.39,-4.532
104,02_105,Electrocyclic,51.205,48.25,2.955,47.045,42.24,4.805,4.159,6.01,-1.851
105,02_106,[4+6]cycloaddition,13.228,11.53,1.698,36.649,29.79,6.859,-23.42,-18.26,-5.160
106,02_107,[6+4]cycloaddition,13.228,11.53,1.698,42.612,36.38,6.232,-29.384,-24.85,-4.534
107,02_108,[8+2]cycloaddition,13.228,11.53,1.698,41.611,35.01,6.601,-28.383,-23.48,-4.903
108,02_109,"[3,3]rearrangement",48.417,43.45,4.967,55.587,50.58,5.007,-7.169,-7.13,-0.039
109,02_110,"[3,3]rearrangement",48.417,43.45,4.967,60.917,57.37,3.547,-12.499,-13.92,1.421
110,02_111,"[3,3]rearrangement",42.781,36.96,5.821,55.786,51.17,4.616,-13.005,-14.22,1.215
111,02_112,[4+6]cycloaddition,13.892,12.84,1.052,37.58,31.12,6.460,-23.688,-18.28,-5.408
112,02_113,[6+4]cycloaddition,13.892,12.84,1.052,42.43,36.75,5.680,-28.538,-23.91,-4.628
113,02_114,[8+2]cycloaddition,13.892,12.84,1.052,44.455,37.94,6.515,-30.562,-25.1,-5.462
114,02_115,[4+6]cycloaddition,13.754,11.83,1.924,37.442,30.11,7.332,-23.688,-18.28,-5.408
115,02_116,[6+4]cycloaddition,13.754,11.83,1.924,42.388,35.81,6.578,-28.634,-23.98,-4.654
116,02_117,[8+2]cycloaddition,13.754,11.83,1.924,47.678,40.21,7.468,-33.924,-28.38,-5.544
117,02_118,[4+2]intramolecular,25.387,22.52,2.867,50.864,41.61,9.254,-25.477,-19.09,-6.387
118,02_119,[6+4]intramolecular,21.986,18.91,3.076,55.448,47.58,7.868,-33.461,-28.67,-4.791
119,02_120,[4+2]intramolecular,19.842,16.79,3.052,51.092,43.12,7.972,-31.25,-26.33,-4.920
120,02_121,[6+4]intramolecular,19.842,16.79,3.052,62.474,54.33,8.144,-42.632,-37.54,-5.092
121,02_122,[4+2]intramolecular,22.424,19.29,3.134,46.392,37.46,8.932,-23.968,-18.17,-5.798
122,02_123,[6+4]intramolecular,22.424,19.29,3.134,51.032,41.95,9.082,-28.608,-22.66,-5.948
123,02_124,[4+2]intramolecular,24.672,21.68,2.992,53.882,46.02,7.862,-29.211,-24.34,-4.871
124,02_125,[6+4]intramolecular,24.672,21.68,2.992,54.396,47.32,7.076,-29.724,-25.64,-4.084
125,02_126,"[3,3]rearrangement",25.71,20.25,5.460,30.295,26.19,4.105,-4.584,-5.95,1.366
126,02_127,"[3,3]rearrangement",25.702,20.95,4.752,37.084,32.16,4.924,-11.382,-11.21,-0.172
127,02_128,"[3,3]rearrangement",35.917,32.74,3.177,46.865,41.45,5.415,-10.947,-8.71,-2.237
128,02_129,"[3,3]rearrangement",38.333,34.42,3.913,45.374,40.15,5.224,-7.041,-5.73,-1.311
129,02_130,"[3,3]rearrangement",39.368,35.4,3.968,48.813,43.32,5.493,-9.445,-7.92,-1.525
130,02_131,"[3,3]rearrangement",34.783,32.39,2.393,48.432,43.38,5.052,-13.648,-10.99,-2.658
131,02_132,"[3,3]rearrangement",36.607,32.92,3.687,46.681,41.1,5.581,-10.074,-8.18,-1.894
132,02_133,"[3,3]rearrangement",37.688,33.84,3.848,50.74,44.83,5.910,-13.052,-10.99,-2.062
133,02_134,"[3,3]rearrangement",34.994,32.08,2.914,53.399,49.61,3.789,-18.406,-17.53,-0.876
134,02_135,"[3,3]rearrangement",31.679,28.35,3.329,48.536,44.42,4.116,-16.856,-16.07,-0.786
135,02_136,"[3,3]rearrangement",33.197,29.79,3.407,50.288,45.83,4.458,-17.091,-16.04,-1.051
136,02_137,"[3,3]rearrangement",29.978,25.98,3.998,46.122,41.35,4.772,-16.144,-15.37,-0.774
137,02_138,"[3,3]rearrangement",34.988,31.94,3.048,32.151,28.09,4.061,2.837,3.85,-1.013
138,02_139,"[3,3]rearrangement",37.754,34.37,3.384,55.761,50.96,4.801,-18.007,-16.59,-1.417
139,02_140,[2+2+2]intramolecular,57.553,54.84,2.713,157.188,144.39,12.798,-99.634,-89.55,-10.084
