,Name,Type,b3lyp-DFT-forward,REF-forward,b3lyp-DELTA-forward,b3lyp-DFT-reverse,REF-reverse,b3lyp-DELTA-reverse,b3lyp-DFT-reaction,REF-reaction,b3lyp-DELTA-reaction
106,02_107,[6+4]cycloaddition,26.361,11.53,14.831,19.629,36.38,-16.751,6.732,-24.85,31.582
107,02_108,[8+2]cycloaddition,26.361,11.53,14.831,22.637,35.01,-12.373,3.724,-23.48,27.204
108,02_109,"[3,3]rearrangement",46.915,43.45,3.465,55.385,50.58,4.805,-8.471,-7.13,-1.341
109,02_110,"[3,3]rearrangement",46.915,43.45,3.465,58.208,57.37,0.838,-11.293,-13.92,2.627
110,02_111,"[3,3]rearrangement",41.905,36.96,4.945,53.73,51.17,2.560,-11.826,-14.22,2.394
111,02_112,[4+6]cycloaddition,27.774,12.84,14.934,15.156,31.12,-15.964,12.618,-18.28,30.898
112,02_113,[6+4]cycloaddition,27.774,12.84,14.934,19.939,36.75,-16.811,7.835,-23.91,31.745
113,02_114,[8+2]cycloaddition,27.774,12.84,14.934,23.021,37.94,-14.919,4.752,-25.1,29.852
114,02_115,[4+6]cycloaddition,27.592,11.83,15.762,14.974,30.11,-15.136,12.618,-18.28,30.898
115,02_116,[6+4]cycloaddition,27.592,11.83,15.762,19.681,35.81,-16.129,7.91,-23.98,31.890
116,02_117,[8+2]cycloaddition,27.592,11.83,15.762,28.886,40.21,-11.324,-1.294,-28.38,27.086
117,02_118,[4+2]intramolecular,26.108,22.52,3.588,26.857,41.61,-14.753,-0.749,-19.09,18.341
118,02_119,[6+4]intramolecular,22.716,18.91,3.806,31.974,47.58,-15.606,-9.258,-28.67,19.412
119,02_120,[4+2]intramolecular,20.229,16.79,3.439,27.756,43.12,-15.364,-7.527,-26.33,18.803
120,02_121,[6+4]intramolecular,20.229,16.79,3.439,39.132,54.33,-15.198,-18.902,-37.54,18.638
121,02_122,[4+2]intramolecular,21.055,19.29,1.765,18.835,37.46,-18.625,2.219,-18.17,20.389
122,02_123,[6+4]intramolecular,21.055,19.29,1.765,26.47,41.95,-15.480,-5.415,-22.66,17.245
123,02_124,[4+2]intramolecular,23.285,21.68,1.605,32.024,46.02,-13.996,-8.739,-24.34,15.601
124,02_125,[6+4]intramolecular,23.285,21.68,1.605,32.635,47.32,-14.685,-9.35,-25.64,16.290
125,02_126,"[3,3]rearrangement",15.71,20.25,-4.540,20.827,26.19,-5.363,-5.116,-5.95,0.834
126,02_127,"[3,3]rearrangement",15.702,20.95,-5.248,27.077,32.16,-5.083,-11.376,-11.21,-0.166
127,02_128,"[3,3]rearrangement",27.773,32.74,-4.967,43.528,41.45,2.078,-15.755,-8.71,-7.045
128,02_129,"[3,3]rearrangement",30.145,34.42,-4.275,39.501,40.15,-0.649,-9.356,-5.73,-3.626
129,02_130,"[3,3]rearrangement",29.658,35.4,-5.742,41.722,43.32,-1.598,-12.064,-7.92,-4.144
130,02_131,"[3,3]rearrangement",26.811,32.39,-5.579,44.61,43.38,1.230,-17.799,-10.99,-6.809
131,02_132,"[3,3]rearrangement",28.929,32.92,-3.991,40.903,41.1,-0.197,-11.974,-8.18,-3.794
132,02_133,"[3,3]rearrangement",28.133,33.84,-5.707,43.902,44.83,-0.928,-15.769,-10.99,-4.779
133,02_134,"[3,3]rearrangement",29.839,32.08,-2.241,46.12,49.61,-3.490,-16.281,-17.53,1.249
134,02_135,"[3,3]rearrangement",26.758,28.35,-1.592,38.908,44.42,-5.512,-12.15,-16.07,3.920
135,02_136,"[3,3]rearrangement",25.956,29.79,-3.834,40.561,45.83,-5.269,-14.605,-16.04,1.435
136,02_137,"[3,3]rearrangement",24.939,25.98,-1.041,36.287,41.35,-5.063,-11.347,-15.37,4.023
137,02_138,"[3,3]rearrangement",27.831,31.94,-4.109,21.225,28.09,-6.865,6.606,3.85,2.756
138,02_139,"[3,3]rearrangement",34.041,34.37,-0.329,47.427,50.96,-3.533,-13.386,-16.59,3.204
139,02_140,[2+2+2]intramolecular,54.733,54.84,-0.107,140.345,144.39,-4.045,-85.612,-89.55,3.938
