,Name,Type,wb2-plyp-DFT-forward,REF-forward,wb2-plyp-DELTA-forward,wb2-plyp-DFT-reverse,REF-reverse,wb2-plyp-DELTA-reverse,wb2-plyp-DFT-reaction,REF-reaction,wb2-plyp-DELTA-reaction
33,02_34,Diels-Alder,17.494,18.28,-0.786,33.008,30.48,2.528,-15.514,-12.21,-3.304
34,02_35,Diels-Alder,15.935,16.53,-0.595,32.587,29.81,2.777,-16.653,-13.28,-3.373
35,02_36,Diels-Alder,14.836,15.49,-0.654,36.773,33.65,3.123,-21.938,-18.16,-3.778
36,02_37,Diels-Alder,16.236,17.0,-0.764,37.302,34.43,2.872,-21.066,-17.43,-3.636
37,02_38,Diels-Alder,21.883,22.73,-0.847,39.877,36.09,3.787,-17.994,-13.36,-4.634
38,02_39,Diels-Alder,36.997,37.42,-0.423,43.08,39.32,3.760,-6.083,-1.9,-4.183
39,02_40,Diels-Alder,14.293,14.26,0.033,29.807,27.77,2.037,-15.514,-13.51,-2.004
40,02_41,Diels-Alder,29.956,28.06,1.896,33.219,31.78,1.439,-3.263,-3.72,0.457
41,02_42,Diels-Alder,7.839,8.58,-0.741,50.721,47.74,2.981,-42.882,-39.15,-3.732
42,02_43,Diels-Alder,16.815,16.35,0.465,52.553,48.76,3.793,-35.738,-32.41,-3.328
43,02_44,Diels-Alder,16.656,16.64,0.016,56.918,53.18,3.738,-40.262,-36.54,-3.722
44,02_45,Diels-Alder,15.97,16.98,-1.010,64.042,59.46,4.582,-48.072,-42.48,-5.592
45,02_46,Diels-Alder,27.085,26.48,0.605,55.73,51.36,4.370,-28.645,-24.88,-3.765
46,02_47,Diels-Alder,-2.623,-1.34,-1.283,92.32,88.51,3.810,-94.942,-89.85,-5.092
47,02_48,Diels-Alder,0.337,1.98,-1.643,91.237,86.44,4.797,-90.899,-84.47,-6.429
48,02_49,Diels-Alder,13.625,13.95,-0.325,51.354,47.2,4.154,-37.729,-33.24,-4.489
49,02_50,[3+2]cycloaddition,18.196,18.44,-0.244,37.818,35.48,2.338,-19.623,-17.04,-2.583
50,02_51,[3+2]cycloaddition,-6.383,-1.95,-4.433,22.873,24.26,-1.387,-29.255,-26.21,-3.045
51,02_52,[3+2]cycloaddition,10.716,12.39,-1.674,39.775,36.11,3.665,-29.059,-23.72,-5.339
52,02_53,[3+2]cycloaddition,8.202,10.45,-2.248,38.667,35.89,2.777,-30.466,-25.44,-5.026
53,02_54,[3+2]cycloaddition,-4.272,-0.12,-4.152,28.093,26.38,1.713,-32.364,-26.5,-5.864
54,02_55,[3+2]cycloaddition,11.97,12.65,-0.680,58.126,52.78,5.346,-46.156,-40.12,-6.036
55,02_56,[3+2]cycloaddition,10.827,11.6,-0.773,99.474,91.82,7.654,-88.646,-80.21,-8.436
56,02_57,[3+2]cycloaddition,7.132,8.1,-0.968,92.038,84.96,7.078,-84.906,-76.87,-8.036
57,02_58,[3+2]cycloaddition,14.81,15.43,-0.620,74.019,68.29,5.729,-59.209,-52.86,-6.349
58,02_59,[3+2]cycloaddition,14.739,15.3,-0.561,73.644,67.99,5.654,-58.905,-52.69,-6.215
59,02_60,[3+2]cycloaddition,4.881,5.93,-1.049,94.601,86.94,7.661,-89.719,-81.0,-8.719
60,02_61,[3+2]cycloaddition,0.186,0.41,-0.224,60.107,56.6,3.507,-59.921,-56.19,-3.731
61,02_62,[3+2]cycloaddition,3.928,3.87,0.058,62.266,58.42,3.846,-58.338,-54.55,-3.788
62,02_63,[3+2]cycloaddition,17.451,16.87,0.581,44.72,41.5,3.220,-27.269,-24.63,-2.639
63,02_64,[3+2]cycloaddition,5.46,5.38,0.080,54.36,50.91,3.450,-48.899,-45.54,-3.359
64,02_65,[3+2]cycloaddition,7.785,8.08,-0.295,60.572,56.87,3.702,-52.787,-48.79,-3.997
65,02_66,[3+2]cycloaddition,6.401,6.79,-0.389,59.076,55.77,3.306,-52.675,-48.98,-3.695
66,02_67,[3+2]cycloaddition,7.725,6.93,0.795,38.15,34.09,4.060,-30.425,-27.16,-3.265
67,02_68,[3+2]cycloaddition,9.888,8.7,1.188,39.164,35.15,4.014,-29.276,-26.45,-2.826
68,02_69,[3+2]cycloaddition,14.634,13.35,1.284,42.912,38.42,4.492,-28.277,-25.07,-3.207
69,02_70,[3+2]cycloaddition,36.586,33.3,3.286,44.423,41.8,2.623,-7.837,-8.51,0.673
70,02_71,[3+2]cycloaddition,38.001,34.78,3.221,42.857,40.16,2.697,-4.856,-5.38,0.524
71,02_72,[3+2]cycloaddition,27.165,26.38,0.785,54.73,51.44,3.290,-27.565,-25.06,-2.505
72,02_73,[3+2]cycloaddition,9.641,10.06,-0.419,49.132,45.53,3.602,-39.491,-35.47,-4.021
73,02_74,[3+2]cycloaddition,27.597,27.86,-0.263,28.603,26.23,2.373,-1.006,1.63,-2.636
74,02_75,[3+2]cycloaddition,9.632,9.79,-0.158,45.29,41.83,3.460,-35.658,-32.04,-3.618
75,02_76,[3+2]cycloaddition,20.044,20.35,-0.306,40.078,37.37,2.708,-20.034,-17.02,-3.014
76,02_77,[3+2]cycloaddition,6.983,6.99,-0.007,50.279,46.28,3.999,-43.296,-39.3,-3.996
77,02_78,[3+2]cycloaddition,19.089,19.13,-0.041,41.2,38.27,2.930,-22.111,-19.14,-2.971
78,02_79,[3+2]cycloaddition,1.659,1.94,-0.281,45.854,42.25,3.604,-44.195,-40.31,-3.885
79,02_80,[3+2]cycloaddition,28.399,28.38,0.019,44.711,41.25,3.461,-16.312,-12.87,-3.442
80,02_81,[3+2]cycloaddition,11.017,11.14,-0.123,46.255,43.06,3.195,-35.237,-31.92,-3.317
81,02_82,Electrocyclic,10.714,10.61,0.104,41.689,37.95,3.739,-30.974,-27.34,-3.634
82,02_83,Electrocyclic,18.359,17.65,0.709,47.647,44.98,2.667,-29.288,-27.33,-1.958
83,02_84,Electrocyclic,27.08,26.68,0.400,53.729,50.51,3.219,-26.648,-23.83,-2.818
84,02_85,Electrocyclic,31.182,30.66,0.522,54.712,51.43,3.282,-23.531,-20.78,-2.751
85,02_86,Electrocyclic,28.695,27.74,0.955,56.637,52.7,3.937,-27.941,-24.96,-2.981
86,02_87,Electrocyclic,31.713,30.73,0.983,57.67,53.65,4.020,-25.957,-22.91,-3.047
87,02_88,Electrocyclic,25.004,24.91,0.094,54.801,51.36,3.441,-29.797,-26.45,-3.347
88,02_89,Electrocyclic,28.661,28.62,0.041,56.362,52.88,3.482,-27.701,-24.26,-3.441
89,02_90,Electrocyclic,27.801,27.43,0.371,55.442,52.17,3.272,-27.641,-24.74,-2.901
90,02_91,Electrocyclic,31.481,31.0,0.481,57.979,54.55,3.429,-26.498,-23.55,-2.948
91,02_92,Electrocyclic,23.743,23.66,0.083,57.25,53.48,3.770,-33.507,-29.82,-3.687
92,02_93,Electrocyclic,29.302,28.69,0.612,59.017,54.95,4.067,-29.715,-26.26,-3.455
93,02_94,Electrocyclic,25.586,25.6,-0.014,57.917,54.46,3.457,-32.332,-28.86,-3.472
94,02_95,Electrocyclic,28.014,28.02,-0.006,59.366,55.88,3.486,-31.352,-27.86,-3.492
95,02_96,Electrocyclic,11.968,11.39,0.578,15.754,15.19,0.564,-3.786,-3.8,0.014
96,02_97,Electrocyclic,46.346,43.52,2.826,22.699,21.76,0.939,23.648,21.76,1.888
97,02_98,Electrocyclic,35.752,33.08,2.672,47.448,45.42,2.028,-11.696,-12.34,0.644
98,02_99,Electrocyclic,48.5,44.28,4.220,57.783,54.35,3.433,-9.283,-10.07,0.787
99,02_100,Electrocyclic,39.0,36.07,2.930,19.596,19.79,-0.194,19.404,16.28,3.124
100,02_101,Electrocyclic,46.038,41.8,4.238,48.765,45.81,2.955,-2.727,-4.01,1.283
101,02_102,Electrocyclic,40.517,38.73,1.787,39.977,36.55,3.427,0.539,2.18,-1.641
102,02_103,Electrocyclic,38.216,36.24,1.976,40.034,36.68,3.354,-1.818,-0.44,-1.378
103,02_104,Electrocyclic,12.683,13.1,-0.417,43.631,40.49,3.141,-30.948,-27.39,-3.558
104,02_105,Electrocyclic,51.521,48.25,3.271,46.279,42.24,4.039,5.242,6.01,-0.768
105,02_106,[4+6]cycloaddition,11.68,11.53,0.150,31.583,29.79,1.793,-19.903,-18.26,-1.643
106,02_107,[6+4]cycloaddition,11.68,11.53,0.150,38.686,36.38,2.306,-27.006,-24.85,-2.156
107,02_108,[8+2]cycloaddition,11.68,11.53,0.150,37.437,35.01,2.427,-25.757,-23.48,-2.277
108,02_109,"[3,3]rearrangement",46.908,43.45,3.458,54.378,50.58,3.798,-7.47,-7.13,-0.340
109,02_110,"[3,3]rearrangement",46.908,43.45,3.458,60.13,57.37,2.760,-13.222,-13.92,0.698
110,02_111,"[3,3]rearrangement",40.55,36.96,3.590,54.351,51.17,3.181,-13.801,-14.22,0.419
111,02_112,[4+6]cycloaddition,12.605,12.84,-0.235,32.324,31.12,1.204,-19.719,-18.28,-1.439
112,02_113,[6+4]cycloaddition,12.606,12.84,-0.234,38.464,36.75,1.714,-25.859,-23.91,-1.949
113,02_114,[8+2]cycloaddition,12.606,12.84,-0.234,39.291,37.94,1.351,-26.686,-25.1,-1.586
114,02_115,[4+6]cycloaddition,12.384,11.83,0.554,32.104,30.11,1.994,-19.719,-18.28,-1.439
115,02_116,[6+4]cycloaddition,12.384,11.83,0.554,38.395,35.81,2.585,-26.01,-23.98,-2.030
116,02_117,[8+2]cycloaddition,12.384,11.83,0.554,42.997,40.21,2.787,-30.613,-28.38,-2.233
117,02_118,[4+2]intramolecular,22.839,22.52,0.319,46.576,41.61,4.966,-23.737,-19.09,-4.647
118,02_119,[6+4]intramolecular,19.352,18.91,0.442,51.671,47.58,4.091,-32.319,-28.67,-3.649
119,02_120,[4+2]intramolecular,16.762,16.79,-0.028,47.05,43.12,3.930,-30.289,-26.33,-3.959
120,02_121,[6+4]intramolecular,16.762,16.79,-0.028,58.634,54.33,4.304,-41.872,-37.54,-4.332
121,02_122,[4+2]intramolecular,20.034,19.29,0.744,41.041,37.46,3.581,-21.007,-18.17,-2.837
122,02_123,[6+4]intramolecular,20.034,19.29,0.744,46.253,41.95,4.303,-26.22,-22.66,-3.560
123,02_124,[4+2]intramolecular,21.496,21.68,-0.184,49.98,46.02,3.960,-28.484,-24.34,-4.144
124,02_125,[6+4]intramolecular,21.496,21.68,-0.184,51.097,47.32,3.777,-29.601,-25.64,-3.961
125,02_126,"[3,3]rearrangement",22.7,20.25,2.450,27.795,26.19,1.605,-5.095,-5.95,0.855
126,02_127,"[3,3]rearrangement",22.77,20.95,1.820,34.354,32.16,2.194,-11.584,-11.21,-0.374
127,02_128,"[3,3]rearrangement",34.749,32.74,2.009,44.456,41.45,3.006,-9.707,-8.71,-0.997
128,02_129,"[3,3]rearrangement",36.951,34.42,2.531,42.766,40.15,2.616,-5.815,-5.73,-0.085
129,02_130,"[3,3]rearrangement",37.958,35.4,2.558,46.179,43.32,2.859,-8.221,-7.92,-0.301
130,02_131,"[3,3]rearrangement",33.564,32.39,1.174,45.873,43.38,2.493,-12.309,-10.99,-1.319
131,02_132,"[3,3]rearrangement",35.198,32.92,2.278,43.818,41.1,2.718,-8.621,-8.18,-0.441
132,02_133,"[3,3]rearrangement",36.12,33.84,2.280,48.007,44.83,3.177,-11.887,-10.99,-0.897
133,02_134,"[3,3]rearrangement",34.961,32.08,2.881,51.835,49.61,2.225,-16.874,-17.53,0.656
134,02_135,"[3,3]rearrangement",31.419,28.35,3.069,46.463,44.42,2.043,-15.044,-16.07,1.026
135,02_136,"[3,3]rearrangement",33.076,29.79,3.286,48.554,45.83,2.724,-15.478,-16.04,0.562
136,02_137,"[3,3]rearrangement",29.789,25.98,3.809,43.974,41.35,2.624,-14.185,-15.37,1.185
137,02_138,"[3,3]rearrangement",35.055,31.94,3.115,28.561,28.09,0.471,6.494,3.85,2.644
138,02_139,"[3,3]rearrangement",37.293,34.37,2.923,53.746,50.96,2.786,-16.454,-16.59,0.136
139,02_140,[2+2+2]intramolecular,55.934,54.84,1.094,155.861,144.39,11.471,-99.927,-89.55,-10.377
