,Name,Type,m06-DFT-forward,REF-forward,m06-DELTA-forward,m06-DFT-reverse,REF-reverse,m06-DELTA-reverse,m06-DFT-reaction,REF-reaction,m06-DELTA-reaction
68,02_69,[3+2]cycloaddition,16.328,13.35,2.978,30.796,38.42,-7.624,-14.468,-25.07,10.602
69,02_70,[3+2]cycloaddition,38.655,33.3,5.355,36.213,41.8,-5.587,2.442,-8.51,10.952
70,02_71,[3+2]cycloaddition,39.537,34.78,4.757,33.551,40.16,-6.609,5.987,-5.38,11.367
71,02_72,[3+2]cycloaddition,32.0,26.38,5.620,45.765,51.44,-5.675,-13.765,-25.06,11.295
72,02_73,[3+2]cycloaddition,10.362,10.06,0.302,38.603,45.53,-6.927,-28.24,-35.47,7.230
73,02_74,[3+2]cycloaddition,23.801,27.86,-4.059,17.861,26.23,-8.369,5.941,1.63,4.311
74,02_75,[3+2]cycloaddition,10.294,9.79,0.504,34.93,41.83,-6.900,-24.636,-32.04,7.404
75,02_76,[3+2]cycloaddition,17.547,20.35,-2.803,27.825,37.37,-9.545,-10.278,-17.02,6.742
76,02_77,[3+2]cycloaddition,7.807,6.99,0.817,39.847,46.28,-6.433,-32.04,-39.3,7.260
77,02_78,[3+2]cycloaddition,17.294,19.13,-1.836,29.251,38.27,-9.019,-11.956,-19.14,7.184
78,02_79,[3+2]cycloaddition,2.134,1.94,0.194,35.983,42.25,-6.267,-33.849,-40.31,6.461
79,02_80,[3+2]cycloaddition,26.191,28.38,-2.189,33.965,41.25,-7.285,-7.774,-12.87,5.096
80,02_81,[3+2]cycloaddition,11.278,11.14,0.138,35.92,43.06,-7.140,-24.642,-31.92,7.278
81,02_82,Electrocyclic,6.773,10.61,-3.837,28.347,37.95,-9.603,-21.574,-27.34,5.766
82,02_83,Electrocyclic,13.014,17.65,-4.636,44.12,44.98,-0.860,-31.105,-27.33,-3.775
83,02_84,Electrocyclic,26.46,26.68,-0.220,48.168,50.51,-2.342,-21.709,-23.83,2.121
84,02_85,Electrocyclic,30.443,30.66,-0.217,49.355,51.43,-2.075,-18.912,-20.78,1.868
85,02_86,Electrocyclic,27.158,27.74,-0.582,50.27,52.7,-2.430,-23.112,-24.96,1.848
86,02_87,Electrocyclic,29.658,30.73,-1.072,51.262,53.65,-2.388,-21.604,-22.91,1.306
87,02_88,Electrocyclic,24.425,24.91,-0.485,49.357,51.36,-2.003,-24.932,-26.45,1.518
88,02_89,Electrocyclic,28.043,28.62,-0.577,51.277,52.88,-1.603,-23.235,-24.26,1.025
89,02_90,Electrocyclic,26.907,27.43,-0.523,49.942,52.17,-2.228,-23.035,-24.74,1.705
90,02_91,Electrocyclic,30.63,31.0,-0.370,52.93,54.55,-1.620,-22.3,-23.55,1.250
91,02_92,Electrocyclic,23.202,23.66,-0.458,51.492,53.48,-1.988,-28.29,-29.82,1.530
92,02_93,Electrocyclic,27.921,28.69,-0.769,52.437,54.95,-2.513,-24.515,-26.26,1.745
93,02_94,Electrocyclic,25.29,25.6,-0.310,52.278,54.46,-2.182,-26.988,-28.86,1.872
94,02_95,Electrocyclic,27.859,28.02,-0.161,53.847,55.88,-2.033,-25.987,-27.86,1.873
95,02_96,Electrocyclic,7.978,11.39,-3.412,16.544,15.19,1.354,-8.566,-3.8,-4.766
96,02_97,Electrocyclic,40.717,43.52,-2.803,20.797,21.76,-0.963,19.92,21.76,-1.840
97,02_98,Electrocyclic,32.966,33.08,-0.114,46.823,45.42,1.403,-13.857,-12.34,-1.517
98,02_99,Electrocyclic,44.213,44.28,-0.067,55.769,54.35,1.419,-11.556,-10.07,-1.486
99,02_100,Electrocyclic,36.549,36.07,0.479,20.253,19.79,0.463,16.296,16.28,0.016
100,02_101,Electrocyclic,41.851,41.8,0.051,46.01,45.81,0.200,-4.159,-4.01,-0.149
101,02_102,Electrocyclic,38.308,38.73,-0.422,36.824,36.55,0.274,1.483,2.18,-0.697
102,02_103,Electrocyclic,36.422,36.24,0.182,36.825,36.68,0.145,-0.403,-0.44,0.037
103,02_104,Electrocyclic,14.066,13.1,0.966,40.452,40.49,-0.038,-26.386,-27.39,1.004
104,02_105,Electrocyclic,49.385,48.25,1.135,42.474,42.24,0.234,6.91,6.01,0.900
105,02_106,[4+6]cycloaddition,11.282,11.53,-0.248,18.484,29.79,-11.306,-7.201,-18.26,11.059
106,02_107,[6+4]cycloaddition,11.282,11.53,-0.248,25.985,36.38,-10.395,-14.703,-24.85,10.147
107,02_108,[8+2]cycloaddition,11.282,11.53,-0.248,23.969,35.01,-11.041,-12.687,-23.48,10.793
108,02_109,"[3,3]rearrangement",44.444,43.45,0.994,54.04,50.58,3.460,-9.596,-7.13,-2.466
109,02_110,"[3,3]rearrangement",44.444,43.45,0.994,56.159,57.37,-1.211,-11.715,-13.92,2.205
110,02_111,"[3,3]rearrangement",38.957,36.96,1.997,51.073,51.17,-0.097,-12.115,-14.22,2.105
111,02_112,[4+6]cycloaddition,12.49,12.84,-0.350,19.823,31.12,-11.297,-7.333,-18.28,10.947
112,02_113,[6+4]cycloaddition,12.49,12.84,-0.350,26.195,36.75,-10.555,-13.705,-23.91,10.205
113,02_114,[8+2]cycloaddition,12.49,12.84,-0.350,26.645,37.94,-11.295,-14.155,-25.1,10.945
114,02_115,[4+6]cycloaddition,12.342,11.83,0.512,19.675,30.11,-10.435,-7.333,-18.28,10.947
115,02_116,[6+4]cycloaddition,12.342,11.83,0.512,25.974,35.81,-9.836,-13.633,-23.98,10.347
116,02_117,[8+2]cycloaddition,12.342,11.83,0.512,30.736,40.21,-9.474,-18.395,-28.38,9.985
117,02_118,[4+2]intramolecular,20.505,22.52,-2.015,34.435,41.61,-7.175,-13.93,-19.09,5.160
118,02_119,[6+4]intramolecular,16.996,18.91,-1.914,39.492,47.58,-8.088,-22.496,-28.67,6.174
119,02_120,[4+2]intramolecular,14.96,16.79,-1.830,35.357,43.12,-7.763,-20.398,-26.33,5.932
120,02_121,[6+4]intramolecular,14.96,16.79,-1.830,46.281,54.33,-8.049,-31.321,-37.54,6.219
121,02_122,[4+2]intramolecular,16.419,19.29,-2.871,28.344,37.46,-9.116,-11.924,-18.17,6.246
122,02_123,[6+4]intramolecular,16.419,19.29,-2.871,33.452,41.95,-8.498,-17.033,-22.66,5.627
123,02_124,[4+2]intramolecular,20.882,21.68,-0.798,38.791,46.02,-7.229,-17.909,-24.34,6.431
124,02_125,[6+4]intramolecular,20.882,21.68,-0.798,40.267,47.32,-7.053,-19.385,-25.64,6.255
125,02_126,"[3,3]rearrangement",20.024,20.25,-0.226,25.081,26.19,-1.109,-5.057,-5.95,0.893
126,02_127,"[3,3]rearrangement",19.964,20.95,-0.986,30.888,32.16,-1.272,-10.924,-11.21,0.286
127,02_128,"[3,3]rearrangement",30.309,32.74,-2.431,42.12,41.45,0.670,-11.811,-8.71,-3.101
128,02_129,"[3,3]rearrangement",32.208,34.42,-2.212,39.418,40.15,-0.732,-7.21,-5.73,-1.480
129,02_130,"[3,3]rearrangement",33.269,35.4,-2.131,43.102,43.32,-0.218,-9.833,-7.92,-1.913
130,02_131,"[3,3]rearrangement",29.577,32.39,-2.813,43.954,43.38,0.574,-14.377,-10.99,-3.387
131,02_132,"[3,3]rearrangement",31.127,32.92,-1.793,41.102,41.1,0.002,-9.975,-8.18,-1.795
132,02_133,"[3,3]rearrangement",32.557,33.84,-1.283,45.234,44.83,0.404,-12.677,-10.99,-1.687
133,02_134,"[3,3]rearrangement",32.278,32.08,0.198,49.919,49.61,0.309,-17.641,-17.53,-0.111
134,02_135,"[3,3]rearrangement",29.17,28.35,0.820,43.673,44.42,-0.747,-14.503,-16.07,1.567
135,02_136,"[3,3]rearrangement",28.131,29.79,-1.659,43.917,45.83,-1.913,-15.786,-16.04,0.254
136,02_137,"[3,3]rearrangement",25.282,25.98,-0.698,39.052,41.35,-2.298,-13.77,-15.37,1.600
137,02_138,"[3,3]rearrangement",29.366,31.94,-2.574,25.03,28.09,-3.060,4.336,3.85,0.486
138,02_139,"[3,3]rearrangement",34.835,34.37,0.465,51.736,50.96,0.776,-16.901,-16.59,-0.311
139,02_140,[2+2+2]intramolecular,57.575,54.84,2.735,143.095,144.39,-1.295,-85.52,-89.55,4.030
