,Name,Type,wb97x-DFT-forward,REF-forward,wb97x-DELTA-forward,wb97x-DFT-reverse,REF-reverse,wb97x-DELTA-reverse,wb97x-DFT-reaction,REF-reaction,wb97x-DELTA-reaction
28,02_29,Diels-Alder,9.513,1.65,7.863,39.213,35.57,3.643,-29.701,-33.92,4.219
29,02_30,Diels-Alder,15.094,7.98,7.114,56.69,55.02,1.670,-41.597,-47.04,5.443
30,02_31,Diels-Alder,23.365,15.12,8.245,36.721,36.68,0.041,-13.357,-21.56,8.203
31,02_32,Diels-Alder,14.082,6.61,7.472,56.056,54.79,1.266,-41.974,-48.18,6.206
32,02_33,Diels-Alder,17.553,11.62,5.933,58.541,53.25,5.291,-40.988,-41.63,0.642
33,02_34,Diels-Alder,20.619,18.28,2.339,32.5,30.48,2.020,-11.881,-12.21,0.329
34,02_35,Diels-Alder,18.73,16.53,2.200,31.684,29.81,1.874,-12.954,-13.28,0.326
35,02_36,Diels-Alder,17.297,15.49,1.807,35.338,33.65,1.688,-18.04,-18.16,0.120
36,02_37,Diels-Alder,19.052,17.0,2.052,36.112,34.43,1.682,-17.06,-17.43,0.370
37,02_38,Diels-Alder,29.841,22.73,7.111,40.567,36.09,4.477,-10.726,-13.36,2.634
38,02_39,Diels-Alder,44.129,37.42,6.709,43.639,39.32,4.319,0.49,-1.9,2.390
39,02_40,Diels-Alder,21.728,14.26,7.468,30.064,27.77,2.294,-8.337,-13.51,5.173
40,02_41,Diels-Alder,37.224,28.06,9.164,34.982,31.78,3.202,2.242,-3.72,5.962
41,02_42,Diels-Alder,15.946,8.58,7.366,52.988,47.74,5.248,-37.043,-39.15,2.107
42,02_43,Diels-Alder,24.381,16.35,8.031,54.879,48.76,6.119,-30.498,-32.41,1.912
43,02_44,Diels-Alder,23.498,16.64,6.858,58.123,53.18,4.943,-34.624,-36.54,1.916
44,02_45,Diels-Alder,22.058,16.98,5.078,65.091,59.46,5.631,-43.033,-42.48,-0.553
45,02_46,Diels-Alder,33.449,26.48,6.969,57.567,51.36,6.207,-24.118,-24.88,0.762
46,02_47,Diels-Alder,0.839,-1.34,2.179,91.161,88.51,2.651,-90.322,-89.85,-0.472
47,02_48,Diels-Alder,5.228,1.98,3.248,91.054,86.44,4.614,-85.825,-84.47,-1.355
48,02_49,Diels-Alder,21.576,13.95,7.626,53.709,47.2,6.509,-32.133,-33.24,1.107
49,02_50,[3+2]cycloaddition,23.996,18.44,5.556,38.868,35.48,3.388,-14.872,-17.04,2.168
50,02_51,[3+2]cycloaddition,1.92,-1.95,3.870,25.719,24.26,1.459,-23.798,-26.21,2.412
51,02_52,[3+2]cycloaddition,16.668,12.39,4.278,40.705,36.11,4.595,-24.037,-23.72,-0.317
52,02_53,[3+2]cycloaddition,14.673,10.45,4.223,39.758,35.89,3.868,-25.085,-25.44,0.355
53,02_54,[3+2]cycloaddition,2.773,-0.12,2.893,26.982,26.38,0.602,-24.21,-26.5,2.290
54,02_55,[3+2]cycloaddition,16.718,12.65,4.068,59.675,52.78,6.895,-42.958,-40.12,-2.838
55,02_56,[3+2]cycloaddition,14.981,11.6,3.381,99.467,91.82,7.647,-84.486,-80.21,-4.276
56,02_57,[3+2]cycloaddition,12.608,8.1,4.508,93.428,84.96,8.468,-80.82,-76.87,-3.950
57,02_58,[3+2]cycloaddition,19.763,15.43,4.333,73.86,68.29,5.570,-54.097,-52.86,-1.237
58,02_59,[3+2]cycloaddition,19.469,15.3,4.169,73.253,67.99,5.263,-53.784,-52.69,-1.094
59,02_60,[3+2]cycloaddition,9.41,5.93,3.480,94.385,86.94,7.445,-84.974,-81.0,-3.974
60,02_61,[3+2]cycloaddition,3.224,0.41,2.814,56.845,56.6,0.245,-53.62,-56.19,2.570
61,02_62,[3+2]cycloaddition,7.95,3.87,4.080,59.86,58.42,1.440,-51.91,-54.55,2.640
62,02_63,[3+2]cycloaddition,20.129,16.87,3.259,44.32,41.5,2.820,-24.19,-24.63,0.440
63,02_64,[3+2]cycloaddition,9.092,5.38,3.712,52.729,50.91,1.819,-43.636,-45.54,1.904
64,02_65,[3+2]cycloaddition,11.734,8.08,3.654,57.908,56.87,1.038,-46.173,-48.79,2.617
65,02_66,[3+2]cycloaddition,9.109,6.79,2.319,55.314,55.77,-0.456,-46.206,-48.98,2.774
66,02_67,[3+2]cycloaddition,12.773,6.93,5.843,37.424,34.09,3.334,-24.651,-27.16,2.509
67,02_68,[3+2]cycloaddition,14.734,8.7,6.034,38.379,35.15,3.229,-23.645,-26.45,2.805
68,02_69,[3+2]cycloaddition,19.324,13.35,5.974,42.47,38.42,4.050,-23.145,-25.07,1.925
69,02_70,[3+2]cycloaddition,40.841,33.3,7.541,47.217,41.8,5.417,-6.376,-8.51,2.134
70,02_71,[3+2]cycloaddition,41.959,34.78,7.179,46.09,40.16,5.930,-4.13,-5.38,1.250
71,02_72,[3+2]cycloaddition,32.481,26.38,6.101,56.913,51.44,5.473,-24.432,-25.06,0.628
72,02_73,[3+2]cycloaddition,14.608,10.06,4.548,47.95,45.53,2.420,-33.342,-35.47,2.128
73,02_74,[3+2]cycloaddition,29.965,27.86,2.105,28.012,26.23,1.782,1.953,1.63,0.323
74,02_75,[3+2]cycloaddition,15.052,9.79,5.262,44.341,41.83,2.511,-29.288,-32.04,2.752
75,02_76,[3+2]cycloaddition,23.97,20.35,3.620,38.921,37.37,1.551,-14.952,-17.02,2.068
76,02_77,[3+2]cycloaddition,12.32,6.99,5.330,49.03,46.28,2.750,-36.711,-39.3,2.589
77,02_78,[3+2]cycloaddition,23.775,19.13,4.645,40.186,38.27,1.916,-16.411,-19.14,2.729
78,02_79,[3+2]cycloaddition,6.434,1.94,4.494,44.892,42.25,2.642,-38.459,-40.31,1.851
79,02_80,[3+2]cycloaddition,33.13,28.38,4.750,43.731,41.25,2.481,-10.601,-12.87,2.269
80,02_81,[3+2]cycloaddition,16.28,11.14,5.140,44.995,43.06,1.935,-28.715,-31.92,3.205
81,02_82,Electrocyclic,15.46,10.61,4.850,39.98,37.95,2.030,-24.52,-27.34,2.820
82,02_83,Electrocyclic,18.979,17.65,1.329,46.953,44.98,1.973,-27.973,-27.33,-0.643
83,02_84,Electrocyclic,29.791,26.68,3.111,54.214,50.51,3.704,-24.423,-23.83,-0.593
84,02_85,Electrocyclic,33.761,30.66,3.101,55.305,51.43,3.875,-21.545,-20.78,-0.765
85,02_86,Electrocyclic,31.892,27.74,4.152,57.822,52.7,5.122,-25.93,-24.96,-0.970
86,02_87,Electrocyclic,34.496,30.73,3.766,58.545,53.65,4.895,-24.049,-22.91,-1.139
87,02_88,Electrocyclic,27.983,24.91,3.073,55.535,51.36,4.175,-27.552,-26.45,-1.102
88,02_89,Electrocyclic,31.558,28.62,2.938,57.163,52.88,4.283,-25.605,-24.26,-1.345
89,02_90,Electrocyclic,30.356,27.43,2.926,56.164,52.17,3.994,-25.809,-24.74,-1.069
90,02_91,Electrocyclic,33.956,31.0,2.956,58.797,54.55,4.247,-24.841,-23.55,-1.291
91,02_92,Electrocyclic,27.367,23.66,3.707,58.478,53.48,4.998,-31.111,-29.82,-1.291
92,02_93,Electrocyclic,32.195,28.69,3.505,59.907,54.95,4.957,-27.712,-26.26,-1.452
93,02_94,Electrocyclic,28.913,25.6,3.313,58.757,54.46,4.297,-29.844,-28.86,-0.984
94,02_95,Electrocyclic,31.424,28.02,3.404,60.378,55.88,4.498,-28.954,-27.86,-1.094
95,02_96,Electrocyclic,13.108,11.39,1.718,15.693,15.19,0.503,-2.586,-3.8,1.214
96,02_97,Electrocyclic,48.389,43.52,4.869,23.107,21.76,1.347,25.282,21.76,3.522
97,02_98,Electrocyclic,37.114,33.08,4.034,48.431,45.42,3.011,-11.318,-12.34,1.022
98,02_99,Electrocyclic,50.1,44.28,5.820,58.986,54.35,4.636,-8.886,-10.07,1.184
99,02_100,Electrocyclic,40.844,36.07,4.774,20.71,19.79,0.920,20.134,16.28,3.854
100,02_101,Electrocyclic,48.263,41.8,6.463,51.137,45.81,5.327,-2.874,-4.01,1.136
101,02_102,Electrocyclic,41.704,38.73,2.974,41.685,36.55,5.135,0.019,2.18,-2.161
102,02_103,Electrocyclic,40.027,36.24,3.787,41.99,36.68,5.310,-1.964,-0.44,-1.524
103,02_104,Electrocyclic,14.082,13.1,0.982,45.482,40.49,4.992,-31.401,-27.39,-4.011
104,02_105,Electrocyclic,53.841,48.25,5.591,48.381,42.24,6.141,5.459,6.01,-0.551
105,02_106,[4+6]cycloaddition,20.932,11.53,9.402,35.662,29.79,5.872,-14.73,-18.26,3.530
106,02_107,[6+4]cycloaddition,20.932,11.53,9.402,42.204,36.38,5.824,-21.273,-24.85,3.577
107,02_108,[8+2]cycloaddition,20.932,11.53,9.402,42.307,35.01,7.297,-21.375,-23.48,2.105
108,02_109,"[3,3]rearrangement",51.492,43.45,8.042,60.231,50.58,9.651,-8.739,-7.13,-1.609
109,02_110,"[3,3]rearrangement",51.492,43.45,8.042,63.724,57.37,6.354,-12.232,-13.92,1.688
110,02_111,"[3,3]rearrangement",45.81,36.96,8.850,58.645,51.17,7.475,-12.835,-14.22,1.385
111,02_112,[4+6]cycloaddition,22.029,12.84,9.189,36.918,31.12,5.798,-14.889,-18.28,3.391
112,02_113,[6+4]cycloaddition,22.029,12.84,9.189,42.395,36.75,5.645,-20.365,-23.91,3.545
113,02_114,[8+2]cycloaddition,22.029,12.84,9.189,44.217,37.94,6.277,-22.188,-25.1,2.912
114,02_115,[4+6]cycloaddition,21.85,11.83,10.020,36.74,30.11,6.630,-14.889,-18.28,3.391
115,02_116,[6+4]cycloaddition,21.85,11.83,10.020,42.262,35.81,6.452,-20.412,-23.98,3.568
116,02_117,[8+2]cycloaddition,21.85,11.83,10.020,48.503,40.21,8.293,-26.653,-28.38,1.727
117,02_118,[4+2]intramolecular,30.543,22.52,8.023,49.206,41.61,7.596,-18.662,-19.09,0.428
118,02_119,[6+4]intramolecular,27.235,18.91,8.325,54.146,47.58,6.566,-26.911,-28.67,1.759
119,02_120,[4+2]intramolecular,25.117,16.79,8.327,49.632,43.12,6.512,-24.515,-26.33,1.815
120,02_121,[6+4]intramolecular,25.117,16.79,8.327,61.445,54.33,7.115,-36.328,-37.54,1.212
121,02_122,[4+2]intramolecular,27.056,19.29,7.766,43.479,37.46,6.019,-16.423,-18.17,1.747
122,02_123,[6+4]intramolecular,27.056,19.29,7.766,49.207,41.95,7.257,-22.151,-22.66,0.509
123,02_124,[4+2]intramolecular,29.169,21.68,7.489,53.024,46.02,7.004,-23.856,-24.34,0.484
124,02_125,[6+4]intramolecular,29.169,21.68,7.489,53.313,47.32,5.993,-24.144,-25.64,1.496
125,02_126,"[3,3]rearrangement",27.236,20.25,6.986,32.176,26.19,5.986,-4.94,-5.95,1.010
126,02_127,"[3,3]rearrangement",27.382,20.95,6.432,39.195,32.16,7.035,-11.813,-11.21,-0.603
127,02_128,"[3,3]rearrangement",38.158,32.74,5.418,49.429,41.45,7.979,-11.271,-8.71,-2.561
128,02_129,"[3,3]rearrangement",40.613,34.42,6.193,47.211,40.15,7.061,-6.598,-5.73,-0.868
129,02_130,"[3,3]rearrangement",41.583,35.4,6.183,50.618,43.32,7.298,-9.034,-7.92,-1.114
130,02_131,"[3,3]rearrangement",37.145,32.39,4.755,50.874,43.38,7.494,-13.729,-10.99,-2.739
131,02_132,"[3,3]rearrangement",39.16,32.92,6.240,48.573,41.1,7.473,-9.413,-8.18,-1.233
132,02_133,"[3,3]rearrangement",40.055,33.84,6.215,52.725,44.83,7.895,-12.67,-10.99,-1.680
133,02_134,"[3,3]rearrangement",36.753,32.08,4.673,55.4,49.61,5.790,-18.646,-17.53,-1.116
134,02_135,"[3,3]rearrangement",34.006,28.35,5.656,50.455,44.42,6.035,-16.449,-16.07,-0.379
135,02_136,"[3,3]rearrangement",34.695,29.79,4.905,52.083,45.83,6.253,-17.388,-16.04,-1.348
136,02_137,"[3,3]rearrangement",32.71,25.98,6.730,48.421,41.35,7.071,-15.711,-15.37,-0.341
137,02_138,"[3,3]rearrangement",36.481,31.94,4.541,32.957,28.09,4.867,3.524,3.85,-0.326
138,02_139,"[3,3]rearrangement",39.943,34.37,5.573,57.735,50.96,6.775,-17.791,-16.59,-1.201
139,02_140,[2+2+2]intramolecular,61.523,54.84,6.683,156.091,144.39,11.701,-94.569,-89.55,-5.019
