,Name,Type,pbe0-dh-DFT-forward,REF-forward,pbe0-dh-DELTA-forward,pbe0-dh-DFT-reverse,REF-reverse,pbe0-dh-DELTA-reverse,pbe0-dh-DFT-reaction,REF-reaction,pbe0-dh-DELTA-reaction
25,02_26,Diels-Alder,26.432,27.83,-1.398,49.737,47.79,1.947,-23.305,-19.96,-3.345
26,02_27,Diels-Alder,27.914,29.6,-1.686,51.994,50.22,1.774,-24.08,-20.62,-3.460
27,02_28,Diels-Alder,20.192,21.69,-1.498,39.116,38.32,0.796,-18.924,-16.63,-2.294
28,02_29,Diels-Alder,4.04,1.65,2.390,35.448,35.57,-0.122,-31.408,-33.92,2.512
29,02_30,Diels-Alder,10.698,7.98,2.718,56.219,55.02,1.199,-45.521,-47.04,1.519
30,02_31,Diels-Alder,19.671,15.12,4.551,37.164,36.68,0.484,-17.494,-21.56,4.066
31,02_32,Diels-Alder,9.326,6.61,2.716,54.751,54.79,-0.039,-45.424,-48.18,2.756
32,02_33,Diels-Alder,11.338,11.62,-0.282,55.233,53.25,1.983,-43.895,-41.63,-2.265
33,02_34,Diels-Alder,17.882,18.28,-0.398,30.641,30.48,0.161,-12.759,-12.21,-0.549
34,02_35,Diels-Alder,16.039,16.53,-0.491,30.445,29.81,0.635,-14.406,-13.28,-1.126
35,02_36,Diels-Alder,14.522,15.49,-0.968,34.592,33.65,0.942,-20.07,-18.16,-1.910
36,02_37,Diels-Alder,16.08,17.0,-0.920,34.677,34.43,0.247,-18.597,-17.43,-1.167
37,02_38,Diels-Alder,20.961,22.73,-1.769,39.032,36.09,2.942,-18.071,-13.36,-4.711
38,02_39,Diels-Alder,34.132,37.42,-3.288,40.444,39.32,1.124,-6.311,-1.9,-4.411
39,02_40,Diels-Alder,15.629,14.26,1.369,26.757,27.77,-1.013,-11.127,-13.51,2.383
40,02_41,Diels-Alder,31.03,28.06,2.970,30.223,31.78,-1.557,0.806,-3.72,4.526
41,02_42,Diels-Alder,8.971,8.58,0.391,49.915,47.74,2.175,-40.944,-39.15,-1.794
42,02_43,Diels-Alder,17.439,16.35,1.089,51.283,48.76,2.523,-33.844,-32.41,-1.434
43,02_44,Diels-Alder,16.689,16.64,0.049,55.173,53.18,1.993,-38.484,-36.54,-1.944
44,02_45,Diels-Alder,15.098,16.98,-1.882,63.919,59.46,4.459,-48.821,-42.48,-6.341
45,02_46,Diels-Alder,25.385,26.48,-1.095,53.2,51.36,1.840,-27.815,-24.88,-2.935
46,02_47,Diels-Alder,-0.633,-1.34,0.707,93.443,88.51,4.933,-94.076,-89.85,-4.226
47,02_48,Diels-Alder,2.072,1.98,0.092,90.774,86.44,4.334,-88.702,-84.47,-4.232
48,02_49,Diels-Alder,14.229,13.95,0.279,49.369,47.2,2.169,-35.14,-33.24,-1.900
49,02_50,[3+2]cycloaddition,17.496,18.44,-0.944,37.377,35.48,1.897,-19.881,-17.04,-2.841
50,02_51,[3+2]cycloaddition,-1.891,-1.95,0.059,26.987,24.26,2.727,-28.878,-26.21,-2.668
51,02_52,[3+2]cycloaddition,13.5,12.39,1.110,38.506,36.11,2.396,-25.006,-23.72,-1.286
52,02_53,[3+2]cycloaddition,12.054,10.45,1.604,37.35,35.89,1.460,-25.296,-25.44,0.144
53,02_54,[3+2]cycloaddition,0.444,-0.12,0.564,27.495,26.38,1.115,-27.051,-26.5,-0.551
54,02_55,[3+2]cycloaddition,14.22,12.65,1.570,57.167,52.78,4.387,-42.947,-40.12,-2.827
55,02_56,[3+2]cycloaddition,13.018,11.6,1.418,99.708,91.82,7.888,-86.689,-80.21,-6.479
56,02_57,[3+2]cycloaddition,10.623,8.1,2.523,92.486,84.96,7.526,-81.863,-76.87,-4.993
57,02_58,[3+2]cycloaddition,17.133,15.43,1.703,73.3,68.29,5.010,-56.166,-52.86,-3.306
58,02_59,[3+2]cycloaddition,17.073,15.3,1.773,72.782,67.99,4.792,-55.709,-52.69,-3.019
59,02_60,[3+2]cycloaddition,8.158,5.93,2.228,94.704,86.94,7.764,-86.546,-81.0,-5.546
60,02_61,[3+2]cycloaddition,2.432,0.41,2.022,57.846,56.6,1.246,-55.414,-56.19,0.776
61,02_62,[3+2]cycloaddition,6.337,3.87,2.467,60.34,58.42,1.920,-54.003,-54.55,0.547
62,02_63,[3+2]cycloaddition,16.169,16.87,-0.701,43.688,41.5,2.188,-27.519,-24.63,-2.889
63,02_64,[3+2]cycloaddition,4.894,5.38,-0.486,53.063,50.91,2.153,-48.169,-45.54,-2.629
64,02_65,[3+2]cycloaddition,7.309,8.08,-0.771,58.796,56.87,1.926,-51.488,-48.79,-2.698
65,02_66,[3+2]cycloaddition,6.958,6.79,0.168,57.151,55.77,1.381,-50.194,-48.98,-1.214
66,02_67,[3+2]cycloaddition,10.752,6.93,3.822,35.022,34.09,0.932,-24.27,-27.16,2.890
67,02_68,[3+2]cycloaddition,13.018,8.7,4.318,36.107,35.15,0.957,-23.089,-26.45,3.361
68,02_69,[3+2]cycloaddition,17.305,13.35,3.955,40.259,38.42,1.839,-22.954,-25.07,2.116
69,02_70,[3+2]cycloaddition,37.326,33.3,4.026,43.391,41.8,1.591,-6.064,-8.51,2.446
70,02_71,[3+2]cycloaddition,38.373,34.78,3.593,41.742,40.16,1.582,-3.369,-5.38,2.011
71,02_72,[3+2]cycloaddition,26.855,26.38,0.475,53.953,51.44,2.513,-27.099,-25.06,-2.039
72,02_73,[3+2]cycloaddition,11.221,10.06,1.161,46.562,45.53,1.032,-35.34,-35.47,0.130
73,02_74,[3+2]cycloaddition,24.48,27.86,-3.380,25.696,26.23,-0.534,-1.217,1.63,-2.847
74,02_75,[3+2]cycloaddition,11.414,9.79,1.624,42.758,41.83,0.928,-31.344,-32.04,0.696
75,02_76,[3+2]cycloaddition,16.917,20.35,-3.433,36.907,37.37,-0.463,-19.99,-17.02,-2.970
76,02_77,[3+2]cycloaddition,8.561,6.99,1.571,47.26,46.28,0.980,-38.699,-39.3,0.601
77,02_78,[3+2]cycloaddition,16.285,19.13,-2.845,38.315,38.27,0.045,-22.03,-19.14,-2.890
78,02_79,[3+2]cycloaddition,3.696,1.94,1.756,43.32,42.25,1.070,-39.624,-40.31,0.686
79,02_80,[3+2]cycloaddition,26.385,28.38,-1.995,41.728,41.25,0.478,-15.343,-12.87,-2.473
80,02_81,[3+2]cycloaddition,12.975,11.14,1.835,43.595,43.06,0.535,-30.62,-31.92,1.300
81,02_82,Electrocyclic,11.324,10.61,0.714,37.822,37.95,-0.128,-26.498,-27.34,0.842
82,02_83,Electrocyclic,17.892,17.65,0.242,45.72,44.98,0.740,-27.828,-27.33,-0.498
83,02_84,Electrocyclic,25.025,26.68,-1.655,51.476,50.51,0.966,-26.452,-23.83,-2.622
84,02_85,Electrocyclic,28.879,30.66,-1.781,52.454,51.43,1.024,-23.575,-20.78,-2.795
85,02_86,Electrocyclic,28.341,27.74,0.601,56.029,52.7,3.329,-27.688,-24.96,-2.728
86,02_87,Electrocyclic,30.153,30.73,-0.577,55.758,53.65,2.108,-25.605,-22.91,-2.695
87,02_88,Electrocyclic,22.713,24.91,-2.197,52.731,51.36,1.371,-30.017,-26.45,-3.567
88,02_89,Electrocyclic,25.987,28.62,-2.633,54.126,52.88,1.246,-28.139,-24.26,-3.879
89,02_90,Electrocyclic,25.571,27.43,-1.859,53.272,52.17,1.102,-27.7,-24.74,-2.960
90,02_91,Electrocyclic,29.023,31.0,-1.977,55.758,54.55,1.208,-26.735,-23.55,-3.185
91,02_92,Electrocyclic,20.99,23.66,-2.670,55.057,53.48,1.577,-34.067,-29.82,-4.247
92,02_93,Electrocyclic,26.178,28.69,-2.512,56.759,54.95,1.809,-30.581,-26.26,-4.321
93,02_94,Electrocyclic,22.66,25.6,-2.940,55.73,54.46,1.270,-33.071,-28.86,-4.211
94,02_95,Electrocyclic,24.972,28.02,-3.048,57.197,55.88,1.317,-32.224,-27.86,-4.364
95,02_96,Electrocyclic,11.526,11.39,0.136,14.84,15.19,-0.350,-3.314,-3.8,0.486
96,02_97,Electrocyclic,45.262,43.52,1.742,19.252,21.76,-2.508,26.011,21.76,4.251
97,02_98,Electrocyclic,34.759,33.08,1.679,45.628,45.42,0.208,-10.869,-12.34,1.471
98,02_99,Electrocyclic,47.931,44.28,3.651,56.274,54.35,1.924,-8.343,-10.07,1.727
99,02_100,Electrocyclic,38.354,36.07,2.284,17.292,19.79,-2.498,21.061,16.28,4.781
100,02_101,Electrocyclic,45.503,41.8,3.703,46.283,45.81,0.473,-0.78,-4.01,3.230
101,02_102,Electrocyclic,37.835,38.73,-0.895,39.329,36.55,2.779,-1.494,2.18,-3.674
102,02_103,Electrocyclic,35.935,36.24,-0.305,39.588,36.68,2.908,-3.652,-0.44,-3.212
103,02_104,Electrocyclic,6.251,13.1,-6.849,38.967,40.49,-1.523,-32.715,-27.39,-5.325
104,02_105,Electrocyclic,49.331,48.25,1.081,46.005,42.24,3.765,3.326,6.01,-2.684
105,02_106,[4+6]cycloaddition,12.261,11.53,0.731,25.956,29.79,-3.834,-13.695,-18.26,4.565
106,02_107,[6+4]cycloaddition,12.261,11.53,0.731,32.064,36.38,-4.316,-19.803,-24.85,5.047
107,02_108,[8+2]cycloaddition,12.261,11.53,0.731,32.532,35.01,-2.478,-20.271,-23.48,3.209
108,02_109,"[3,3]rearrangement",44.227,43.45,0.777,54.555,50.58,3.975,-10.327,-7.13,-3.197
109,02_110,"[3,3]rearrangement",44.227,43.45,0.777,56.385,57.37,-0.985,-12.158,-13.92,1.762
110,02_111,"[3,3]rearrangement",38.509,36.96,1.549,51.318,51.17,0.148,-12.808,-14.22,1.412
111,02_112,[4+6]cycloaddition,13.441,12.84,0.601,26.817,31.12,-4.303,-13.376,-18.28,4.904
112,02_113,[6+4]cycloaddition,13.441,12.84,0.601,32.056,36.75,-4.694,-18.615,-23.91,5.295
113,02_114,[8+2]cycloaddition,13.441,12.84,0.601,33.853,37.94,-4.087,-20.412,-25.1,4.688
114,02_115,[4+6]cycloaddition,13.298,11.83,1.468,26.675,30.11,-3.435,-13.376,-18.28,4.904
115,02_116,[6+4]cycloaddition,13.298,11.83,1.468,31.87,35.81,-3.940,-18.572,-23.98,5.408
116,02_117,[8+2]cycloaddition,13.298,11.83,1.468,38.108,40.21,-2.102,-24.81,-28.38,3.570
117,02_118,[4+2]intramolecular,19.765,22.52,-2.755,41.429,41.61,-0.181,-21.664,-19.09,-2.574
118,02_119,[6+4]intramolecular,16.223,18.91,-2.687,46.834,47.58,-0.746,-30.611,-28.67,-1.941
119,02_120,[4+2]intramolecular,13.738,16.79,-3.052,42.369,43.12,-0.751,-28.631,-26.33,-2.301
120,02_121,[6+4]intramolecular,13.738,16.79,-3.052,53.974,54.33,-0.356,-40.236,-37.54,-2.696
121,02_122,[4+2]intramolecular,14.836,19.29,-4.454,34.47,37.46,-2.990,-19.634,-18.17,-1.464
122,02_123,[6+4]intramolecular,14.836,19.29,-4.454,40.71,41.95,-1.240,-25.874,-22.66,-3.214
123,02_124,[4+2]intramolecular,17.396,21.68,-4.284,45.448,46.02,-0.572,-28.051,-24.34,-3.711
124,02_125,[6+4]intramolecular,17.396,21.68,-4.284,46.58,47.32,-0.740,-29.184,-25.64,-3.544
125,02_126,"[3,3]rearrangement",19.347,20.25,-0.903,24.753,26.19,-1.437,-5.406,-5.95,0.544
126,02_127,"[3,3]rearrangement",19.499,20.95,-1.451,31.103,32.16,-1.057,-11.604,-11.21,-0.394
127,02_128,"[3,3]rearrangement",31.408,32.74,-1.332,44.208,41.45,2.758,-12.8,-8.71,-4.090
128,02_129,"[3,3]rearrangement",34.175,34.42,-0.245,41.811,40.15,1.661,-7.637,-5.73,-1.907
129,02_130,"[3,3]rearrangement",34.21,35.4,-1.190,44.618,43.32,1.298,-10.409,-7.92,-2.489
130,02_131,"[3,3]rearrangement",30.188,32.39,-2.202,45.488,43.38,2.108,-15.3,-10.99,-4.310
131,02_132,"[3,3]rearrangement",32.481,32.92,-0.439,42.897,41.1,1.797,-10.416,-8.18,-2.236
132,02_133,"[3,3]rearrangement",32.276,33.84,-1.564,46.423,44.83,1.593,-14.147,-10.99,-3.157
133,02_134,"[3,3]rearrangement",32.705,32.08,0.625,50.905,49.61,1.295,-18.2,-17.53,-0.670
134,02_135,"[3,3]rearrangement",29.5,28.35,1.150,44.655,44.42,0.235,-15.155,-16.07,0.915
135,02_136,"[3,3]rearrangement",30.412,29.79,0.622,47.171,45.83,1.341,-16.759,-16.04,-0.719
136,02_137,"[3,3]rearrangement",27.373,25.98,1.393,42.33,41.35,0.980,-14.957,-15.37,0.413
137,02_138,"[3,3]rearrangement",32.051,31.94,0.111,26.564,28.09,-1.526,5.487,3.85,1.637
138,02_139,"[3,3]rearrangement",36.044,34.37,1.674,52.733,50.96,1.773,-16.689,-16.59,-0.099
139,02_140,[2+2+2]intramolecular,52.205,54.84,-2.635,159.638,144.39,15.248,-107.433,-89.55,-17.883
