,Name,Type,blyp-DFT-forward,REF-forward,blyp-DELTA-forward,blyp-DFT-reverse,REF-reverse,blyp-DELTA-reverse,blyp-DFT-reaction,REF-reaction,blyp-DELTA-reaction
49,02_50,[3+2]cycloaddition,22.475,18.44,4.035,18.051,35.48,-17.429,4.423,-17.04,21.463
50,02_51,[3+2]cycloaddition,8.026,-1.95,9.976,10.559,24.26,-13.701,-2.533,-26.21,23.677
51,02_52,[3+2]cycloaddition,22.21,12.39,9.820,18.698,36.11,-17.412,3.512,-23.72,27.232
52,02_53,[3+2]cycloaddition,22.982,10.45,12.532,19.01,35.89,-16.880,3.972,-25.44,29.412
53,02_54,[3+2]cycloaddition,13.016,-0.12,13.136,12.151,26.38,-14.229,0.866,-26.5,27.366
54,02_55,[3+2]cycloaddition,15.336,12.65,2.686,34.36,52.78,-18.420,-19.023,-40.12,21.097
55,02_56,[3+2]cycloaddition,13.602,11.6,2.002,72.57,91.82,-19.250,-58.968,-80.21,21.242
56,02_57,[3+2]cycloaddition,14.533,8.1,6.433,66.919,84.96,-18.041,-52.386,-76.87,24.484
57,02_58,[3+2]cycloaddition,18.101,15.43,2.671,48.798,68.29,-19.492,-30.697,-52.86,22.163
58,02_59,[3+2]cycloaddition,18.245,15.3,2.945,48.061,67.99,-19.929,-29.816,-52.69,22.874
59,02_60,[3+2]cycloaddition,11.079,5.93,5.149,66.428,86.94,-20.512,-55.349,-81.0,25.651
60,02_61,[3+2]cycloaddition,7.67,0.41,7.260,31.755,56.6,-24.845,-24.085,-56.19,32.105
61,02_62,[3+2]cycloaddition,12.174,3.87,8.304,34.555,58.42,-23.865,-22.381,-54.55,32.169
62,02_63,[3+2]cycloaddition,17.553,16.87,0.683,22.55,41.5,-18.950,-4.997,-24.63,19.633
63,02_64,[3+2]cycloaddition,6.82,5.38,1.440,28.734,50.91,-22.176,-21.914,-45.54,23.626
64,02_65,[3+2]cycloaddition,9.348,8.08,1.268,33.45,56.87,-23.420,-24.102,-48.79,24.688
65,02_66,[3+2]cycloaddition,9.245,6.79,2.455,31.022,55.77,-24.748,-21.778,-48.98,27.202
66,02_67,[3+2]cycloaddition,12.28,6.93,5.350,8.591,34.09,-25.499,3.69,-27.16,30.850
67,02_68,[3+2]cycloaddition,14.839,8.7,6.139,9.426,35.15,-25.724,5.413,-26.45,31.863
68,02_69,[3+2]cycloaddition,20.065,13.35,6.715,14.241,38.42,-24.179,5.824,-25.07,30.894
69,02_70,[3+2]cycloaddition,41.913,33.3,8.613,22.83,41.8,-18.970,19.083,-8.51,27.593
70,02_71,[3+2]cycloaddition,41.958,34.78,7.178,21.476,40.16,-18.684,20.482,-5.38,25.862
71,02_72,[3+2]cycloaddition,26.71,26.38,0.330,32.095,51.44,-19.345,-5.385,-25.06,19.675
72,02_73,[3+2]cycloaddition,19.378,10.06,9.318,25.062,45.53,-20.468,-5.684,-35.47,29.786
73,02_74,[3+2]cycloaddition,26.012,27.86,-1.848,6.518,26.23,-19.712,19.494,1.63,17.864
74,02_75,[3+2]cycloaddition,20.62,9.79,10.830,21.367,41.83,-20.463,-0.747,-32.04,31.293
75,02_76,[3+2]cycloaddition,17.668,20.35,-2.682,15.122,37.37,-22.248,2.546,-17.02,19.566
76,02_77,[3+2]cycloaddition,16.85,6.99,9.860,24.244,46.28,-22.036,-7.394,-39.3,31.906
77,02_78,[3+2]cycloaddition,18.281,19.13,-0.849,16.469,38.27,-21.801,1.812,-19.14,20.952
78,02_79,[3+2]cycloaddition,12.277,1.94,10.337,20.928,42.25,-21.322,-8.651,-40.31,31.659
79,02_80,[3+2]cycloaddition,27.41,28.38,-0.970,20.133,41.25,-21.117,7.277,-12.87,20.147
80,02_81,[3+2]cycloaddition,22.408,11.14,11.268,21.714,43.06,-21.346,0.694,-31.92,32.614
81,02_82,Electrocyclic,18.087,10.61,7.477,14.581,37.95,-23.369,3.506,-27.34,30.846
82,02_83,Electrocyclic,8.534,17.65,-9.116,42.712,44.98,-2.268,-34.178,-27.33,-6.848
83,02_84,Electrocyclic,24.217,26.68,-2.463,36.964,50.51,-13.546,-12.747,-23.83,11.083
84,02_85,Electrocyclic,28.024,30.66,-2.636,37.923,51.43,-13.507,-9.899,-20.78,10.881
85,02_86,Electrocyclic,30.121,27.74,2.381,44.265,52.7,-8.435,-14.144,-24.96,10.816
86,02_87,Electrocyclic,30.66,30.73,-0.070,42.544,53.65,-11.106,-11.884,-22.91,11.026
87,02_88,Electrocyclic,21.898,24.91,-3.012,38.685,51.36,-12.675,-16.787,-26.45,9.663
88,02_89,Electrocyclic,24.927,28.62,-3.693,39.745,52.88,-13.135,-14.818,-24.26,9.442
89,02_90,Electrocyclic,23.987,27.43,-3.443,38.943,52.17,-13.227,-14.956,-24.74,9.784
90,02_91,Electrocyclic,27.555,31.0,-3.445,41.412,54.55,-13.138,-13.856,-23.55,9.694
91,02_92,Electrocyclic,19.937,23.66,-3.723,41.668,53.48,-11.812,-21.731,-29.82,8.089
92,02_93,Electrocyclic,24.639,28.69,-4.051,43.482,54.95,-11.468,-18.842,-26.26,7.418
93,02_94,Electrocyclic,20.998,25.6,-4.602,41.622,54.46,-12.838,-20.624,-28.86,8.236
94,02_95,Electrocyclic,23.365,28.02,-4.655,42.848,55.88,-13.032,-19.484,-27.86,8.376
95,02_96,Electrocyclic,3.144,11.39,-8.246,14.643,15.19,-0.547,-11.499,-3.8,-7.699
96,02_97,Electrocyclic,33.125,43.52,-10.395,16.994,21.76,-4.766,16.131,21.76,-5.629
97,02_98,Electrocyclic,24.093,33.08,-8.987,46.006,45.42,0.586,-21.912,-12.34,-9.572
98,02_99,Electrocyclic,36.627,44.28,-7.653,55.657,54.35,1.307,-19.031,-10.07,-8.961
99,02_100,Electrocyclic,28.219,36.07,-7.851,18.821,19.79,-0.969,9.398,16.28,-6.882
100,02_101,Electrocyclic,34.358,41.8,-7.442,45.21,45.81,-0.600,-10.852,-4.01,-6.842
101,02_102,Electrocyclic,36.404,38.73,-2.326,28.122,36.55,-8.428,8.281,2.18,6.101
102,02_103,Electrocyclic,35.292,36.24,-0.948,28.84,36.68,-7.840,6.453,-0.44,6.893
103,02_104,Electrocyclic,12.612,13.1,-0.488,31.662,40.49,-8.828,-19.051,-27.39,8.339
104,02_105,Electrocyclic,48.619,48.25,0.369,35.177,42.24,-7.063,13.443,6.01,7.433
105,02_106,[4+6]cycloaddition,26.475,11.53,14.945,4.487,29.79,-25.303,21.987,-18.26,40.247
106,02_107,[6+4]cycloaddition,26.475,11.53,14.945,9.741,36.38,-26.639,16.733,-24.85,41.583
107,02_108,[8+2]cycloaddition,26.475,11.53,14.945,13.358,35.01,-21.652,13.116,-23.48,36.596
108,02_109,"[3,3]rearrangement",42.595,43.45,-0.855,51.302,50.58,0.722,-8.707,-7.13,-1.577
109,02_110,"[3,3]rearrangement",42.595,43.45,-0.855,53.121,57.37,-4.249,-10.526,-13.92,3.394
110,02_111,"[3,3]rearrangement",37.836,36.96,0.876,48.847,51.17,-2.323,-11.012,-14.22,3.208
111,02_112,[4+6]cycloaddition,27.922,12.84,15.082,5.633,31.12,-25.487,22.289,-18.28,40.569
112,02_113,[6+4]cycloaddition,27.922,12.84,15.082,10.136,36.75,-26.614,17.786,-23.91,41.696
113,02_114,[8+2]cycloaddition,27.922,12.84,15.082,13.372,37.94,-24.568,14.55,-25.1,39.650
114,02_115,[4+6]cycloaddition,27.742,11.83,15.912,5.453,30.11,-24.657,22.289,-18.28,40.569
115,02_116,[6+4]cycloaddition,27.742,11.83,15.912,9.818,35.81,-25.992,17.924,-23.98,41.904
116,02_117,[8+2]cycloaddition,27.742,11.83,15.912,19.841,40.21,-20.369,7.901,-28.38,36.281
117,02_118,[4+2]intramolecular,23.791,22.52,1.271,16.398,41.61,-25.212,7.393,-19.09,26.483
118,02_119,[6+4]intramolecular,20.624,18.91,1.714,21.314,47.58,-26.266,-0.69,-28.67,27.980
119,02_120,[4+2]intramolecular,17.944,16.79,1.154,17.368,43.12,-25.752,0.576,-26.33,26.906
120,02_121,[6+4]intramolecular,17.944,16.79,1.154,27.975,54.33,-26.355,-10.031,-37.54,27.509
121,02_122,[4+2]intramolecular,18.14,19.29,-1.150,7.489,37.46,-29.971,10.651,-18.17,28.821
122,02_123,[6+4]intramolecular,18.14,19.29,-1.150,15.58,41.95,-26.370,2.56,-22.66,25.220
123,02_124,[4+2]intramolecular,20.776,21.68,-0.904,21.758,46.02,-24.262,-0.981,-24.34,23.359
124,02_125,[6+4]intramolecular,20.776,21.68,-0.904,22.625,47.32,-24.695,-1.848,-25.64,23.792
125,02_126,"[3,3]rearrangement",10.693,20.25,-9.557,15.609,26.19,-10.581,-4.916,-5.95,1.034
126,02_127,"[3,3]rearrangement",10.618,20.95,-10.332,21.226,32.16,-10.934,-10.607,-11.21,0.603
127,02_128,"[3,3]rearrangement",21.706,32.74,-11.034,39.355,41.45,-2.095,-17.649,-8.71,-8.939
128,02_129,"[3,3]rearrangement",23.772,34.42,-10.648,34.693,40.15,-5.457,-10.921,-5.73,-5.191
129,02_130,"[3,3]rearrangement",23.026,35.4,-12.374,36.591,43.32,-6.729,-13.565,-7.92,-5.645
130,02_131,"[3,3]rearrangement",20.831,32.39,-11.559,40.191,43.38,-3.189,-19.36,-10.99,-8.370
131,02_132,"[3,3]rearrangement",22.745,32.92,-10.175,36.064,41.1,-5.036,-13.319,-8.18,-5.139
132,02_133,"[3,3]rearrangement",21.633,33.84,-12.207,38.711,44.83,-6.119,-17.079,-10.99,-6.089
133,02_134,"[3,3]rearrangement",24.331,32.08,-7.749,40.218,49.61,-9.392,-15.887,-17.53,1.643
134,02_135,"[3,3]rearrangement",21.079,28.35,-7.271,32.379,44.42,-12.041,-11.299,-16.07,4.771
135,02_136,"[3,3]rearrangement",19.573,29.79,-10.217,33.424,45.83,-12.406,-13.851,-16.04,2.189
136,02_137,"[3,3]rearrangement",18.055,25.98,-7.925,29.22,41.35,-12.130,-11.165,-15.37,4.205
137,02_138,"[3,3]rearrangement",21.563,31.94,-10.377,15.898,28.09,-12.192,5.665,3.85,1.815
138,02_139,"[3,3]rearrangement",28.485,34.37,-5.885,41.648,50.96,-9.312,-13.162,-16.59,3.428
139,02_140,[2+2+2]intramolecular,48.497,54.84,-6.343,126.435,144.39,-17.955,-77.938,-89.55,11.612
