,Name,Type,b97m-v-DFT-forward,REF-forward,b97m-v-DELTA-forward,b97m-v-DFT-reverse,REF-reverse,b97m-v-DELTA-reverse,b97m-v-DFT-reaction,REF-reaction,b97m-v-DELTA-reaction
50,02_51,[3+2]cycloaddition,-2.947,-1.95,-0.997,18.117,24.26,-6.143,-21.064,-26.21,5.146
51,02_52,[3+2]cycloaddition,12.123,12.39,-0.267,30.075,36.11,-6.035,-17.952,-23.72,5.768
52,02_53,[3+2]cycloaddition,10.251,10.45,-0.199,29.03,35.89,-6.860,-18.778,-25.44,6.662
53,02_54,[3+2]cycloaddition,-0.462,-0.12,-0.342,21.364,26.38,-5.016,-21.826,-26.5,4.674
54,02_55,[3+2]cycloaddition,11.506,12.65,-1.144,48.086,52.78,-4.694,-36.58,-40.12,3.540
55,02_56,[3+2]cycloaddition,10.598,11.6,-1.002,90.742,91.82,-1.078,-80.144,-80.21,0.066
56,02_57,[3+2]cycloaddition,8.254,8.1,0.154,82.882,84.96,-2.078,-74.628,-76.87,2.242
57,02_58,[3+2]cycloaddition,14.794,15.43,-0.636,64.081,68.29,-4.209,-49.287,-52.86,3.573
58,02_59,[3+2]cycloaddition,14.302,15.3,-0.998,63.308,67.99,-4.682,-49.006,-52.69,3.684
59,02_60,[3+2]cycloaddition,4.217,5.93,-1.713,85.611,86.94,-1.329,-81.394,-81.0,-0.394
60,02_61,[3+2]cycloaddition,-1.191,0.41,-1.601,46.368,56.6,-10.232,-47.559,-56.19,8.631
61,02_62,[3+2]cycloaddition,3.162,3.87,-0.708,49.109,58.42,-9.311,-45.947,-54.55,8.603
62,02_63,[3+2]cycloaddition,17.134,16.87,0.264,34.62,41.5,-6.880,-17.486,-24.63,7.144
63,02_64,[3+2]cycloaddition,4.762,5.38,-0.618,42.403,50.91,-8.507,-37.641,-45.54,7.899
64,02_65,[3+2]cycloaddition,7.221,8.08,-0.859,47.484,56.87,-9.386,-40.262,-48.79,8.528
65,02_66,[3+2]cycloaddition,4.872,6.79,-1.918,46.037,55.77,-9.733,-41.165,-48.98,7.815
66,02_67,[3+2]cycloaddition,2.325,6.93,-4.605,22.656,34.09,-11.434,-20.331,-27.16,6.829
67,02_68,[3+2]cycloaddition,4.694,8.7,-4.006,23.894,35.15,-11.256,-19.2,-26.45,7.250
68,02_69,[3+2]cycloaddition,9.634,13.35,-3.716,27.939,38.42,-10.481,-18.305,-25.07,6.765
69,02_70,[3+2]cycloaddition,36.284,33.3,2.984,36.575,41.8,-5.225,-0.291,-8.51,8.219
70,02_71,[3+2]cycloaddition,37.02,34.78,2.240,33.183,40.16,-6.977,3.837,-5.38,9.217
71,02_72,[3+2]cycloaddition,28.258,26.38,1.878,44.645,51.44,-6.795,-16.387,-25.06,8.673
72,02_73,[3+2]cycloaddition,9.265,10.06,-0.795,37.574,45.53,-7.956,-28.309,-35.47,7.161
73,02_74,[3+2]cycloaddition,22.806,27.86,-5.054,15.97,26.23,-10.260,6.836,1.63,5.206
74,02_75,[3+2]cycloaddition,9.001,9.79,-0.789,33.904,41.83,-7.926,-24.903,-32.04,7.137
75,02_76,[3+2]cycloaddition,15.821,20.35,-4.529,26.238,37.37,-11.132,-10.417,-17.02,6.603
76,02_77,[3+2]cycloaddition,5.723,6.99,-1.267,38.417,46.28,-7.863,-32.694,-39.3,6.606
77,02_78,[3+2]cycloaddition,14.958,19.13,-4.172,27.687,38.27,-10.583,-12.729,-19.14,6.411
78,02_79,[3+2]cycloaddition,0.33,1.94,-1.610,33.851,42.25,-8.399,-33.52,-40.31,6.790
79,02_80,[3+2]cycloaddition,24.7,28.38,-3.680,31.529,41.25,-9.721,-6.83,-12.87,6.040
80,02_81,[3+2]cycloaddition,10.654,11.14,-0.486,34.795,43.06,-8.265,-24.141,-31.92,7.779
81,02_82,Electrocyclic,4.464,10.61,-6.146,25.437,37.95,-12.513,-20.973,-27.34,6.367
82,02_83,Electrocyclic,13.324,17.65,-4.326,45.395,44.98,0.415,-32.071,-27.33,-4.741
83,02_84,Electrocyclic,24.985,26.68,-1.695,46.317,50.51,-4.193,-21.332,-23.83,2.498
84,02_85,Electrocyclic,29.131,30.66,-1.529,47.604,51.43,-3.826,-18.473,-20.78,2.307
85,02_86,Electrocyclic,25.452,27.74,-2.288,48.239,52.7,-4.461,-22.788,-24.96,2.172
86,02_87,Electrocyclic,29.161,30.73,-1.569,50.513,53.65,-3.137,-21.352,-22.91,1.558
87,02_88,Electrocyclic,22.92,24.91,-1.990,47.296,51.36,-4.064,-24.376,-26.45,2.074
88,02_89,Electrocyclic,26.324,28.62,-2.296,49.518,52.88,-3.362,-23.194,-24.26,1.066
89,02_90,Electrocyclic,25.347,27.43,-2.083,48.158,52.17,-4.012,-22.811,-24.74,1.929
90,02_91,Electrocyclic,29.188,31.0,-1.812,51.208,54.55,-3.342,-22.019,-23.55,1.531
91,02_92,Electrocyclic,20.776,23.66,-2.884,49.641,53.48,-3.839,-28.864,-29.82,0.956
92,02_93,Electrocyclic,26.801,28.69,-1.889,51.749,54.95,-3.201,-24.948,-26.26,1.312
93,02_94,Electrocyclic,22.649,25.6,-2.951,50.585,54.46,-3.875,-27.936,-28.86,0.924
94,02_95,Electrocyclic,25.308,28.02,-2.712,52.437,55.88,-3.443,-27.129,-27.86,0.731
95,02_96,Electrocyclic,7.717,11.39,-3.673,16.486,15.19,1.296,-8.769,-3.8,-4.969
96,02_97,Electrocyclic,39.981,43.52,-3.539,19.486,21.76,-2.274,20.495,21.76,-1.265
97,02_98,Electrocyclic,32.465,33.08,-0.615,47.633,45.42,2.213,-15.168,-12.34,-2.828
98,02_99,Electrocyclic,44.345,44.28,0.065,57.0,54.35,2.650,-12.656,-10.07,-2.586
99,02_100,Electrocyclic,36.207,36.07,0.137,21.152,19.79,1.362,15.055,16.28,-1.225
100,02_101,Electrocyclic,41.387,41.8,-0.413,45.709,45.81,-0.101,-4.323,-4.01,-0.313
101,02_102,Electrocyclic,39.159,38.73,0.429,36.39,36.55,-0.160,2.769,2.18,0.589
102,02_103,Electrocyclic,36.065,36.24,-0.175,36.349,36.68,-0.331,-0.284,-0.44,0.156
103,02_104,Electrocyclic,13.739,13.1,0.639,40.336,40.49,-0.154,-26.597,-27.39,0.793
104,02_105,Electrocyclic,49.404,48.25,1.154,42.491,42.24,0.251,6.913,6.01,0.903
105,02_106,[4+6]cycloaddition,6.668,11.53,-4.862,11.765,29.79,-18.025,-5.097,-18.26,13.163
106,02_107,[6+4]cycloaddition,6.668,11.53,-4.862,18.872,36.38,-17.508,-12.204,-24.85,12.646
107,02_108,[8+2]cycloaddition,6.668,11.53,-4.862,16.79,35.01,-18.220,-10.122,-23.48,13.358
108,02_109,"[3,3]rearrangement",42.252,43.45,-1.198,49.758,50.58,-0.822,-7.505,-7.13,-0.375
109,02_110,"[3,3]rearrangement",42.252,43.45,-1.198,54.607,57.37,-2.763,-12.355,-13.92,1.565
110,02_111,"[3,3]rearrangement",36.896,36.96,-0.064,49.907,51.17,-1.263,-13.011,-14.22,1.209
111,02_112,[4+6]cycloaddition,7.672,12.84,-5.168,12.85,31.12,-18.270,-5.178,-18.28,13.102
112,02_113,[6+4]cycloaddition,7.672,12.84,-5.168,18.833,36.75,-17.917,-11.161,-23.91,12.749
113,02_114,[8+2]cycloaddition,7.672,12.84,-5.168,20.269,37.94,-17.671,-12.597,-25.1,12.503
114,02_115,[4+6]cycloaddition,7.37,11.83,-4.460,12.549,30.11,-17.561,-5.178,-18.28,13.102
115,02_116,[6+4]cycloaddition,7.37,11.83,-4.460,18.547,35.81,-17.263,-11.177,-23.98,12.803
116,02_117,[8+2]cycloaddition,7.37,11.83,-4.460,24.314,40.21,-15.896,-16.943,-28.38,11.437
117,02_118,[4+2]intramolecular,17.728,22.52,-4.792,29.097,41.61,-12.513,-11.369,-19.09,7.721
118,02_119,[6+4]intramolecular,13.665,18.91,-5.245,34.32,47.58,-13.260,-20.655,-28.67,8.015
119,02_120,[4+2]intramolecular,11.303,16.79,-5.487,30.081,43.12,-13.039,-18.778,-26.33,7.552
120,02_121,[6+4]intramolecular,11.303,16.79,-5.487,41.262,54.33,-13.068,-29.959,-37.54,7.581
121,02_122,[4+2]intramolecular,12.524,19.29,-6.766,22.041,37.46,-15.419,-9.517,-18.17,8.653
122,02_123,[6+4]intramolecular,12.524,19.29,-6.766,27.262,41.95,-14.688,-14.738,-22.66,7.922
123,02_124,[4+2]intramolecular,17.83,21.68,-3.850,33.858,46.02,-12.162,-16.028,-24.34,8.312
124,02_125,[6+4]intramolecular,17.83,21.68,-3.850,35.82,47.32,-11.500,-17.99,-25.64,7.650
125,02_126,"[3,3]rearrangement",15.987,20.25,-4.263,21.21,26.19,-4.980,-5.223,-5.95,0.727
126,02_127,"[3,3]rearrangement",15.74,20.95,-5.210,26.921,32.16,-5.239,-11.181,-11.21,0.029
127,02_128,"[3,3]rearrangement",25.729,32.74,-7.011,42.918,41.45,1.468,-17.189,-8.71,-8.479
128,02_129,"[3,3]rearrangement",26.775,34.42,-7.645,39.434,40.15,-0.716,-12.659,-5.73,-6.929
129,02_130,"[3,3]rearrangement",28.096,35.4,-7.304,43.221,43.32,-0.099,-15.125,-7.92,-7.205
130,02_131,"[3,3]rearrangement",24.719,32.39,-7.671,44.457,43.38,1.077,-19.739,-10.99,-8.749
131,02_132,"[3,3]rearrangement",25.293,32.92,-7.627,40.925,41.1,-0.175,-15.632,-8.18,-7.452
132,02_133,"[3,3]rearrangement",26.655,33.84,-7.185,45.21,44.83,0.380,-18.555,-10.99,-7.565
133,02_134,"[3,3]rearrangement",28.442,32.08,-3.638,46.12,49.61,-3.490,-17.679,-17.53,-0.149
134,02_135,"[3,3]rearrangement",24.901,28.35,-3.449,38.967,44.42,-5.453,-14.066,-16.07,2.004
135,02_136,"[3,3]rearrangement",23.252,29.79,-6.538,38.627,45.83,-7.203,-15.375,-16.04,0.665
136,02_137,"[3,3]rearrangement",19.58,25.98,-6.400,33.13,41.35,-8.220,-13.55,-15.37,1.820
137,02_138,"[3,3]rearrangement",25.349,31.94,-6.591,20.705,28.09,-7.385,4.644,3.85,0.794
138,02_139,"[3,3]rearrangement",30.941,34.37,-3.429,47.541,50.96,-3.419,-16.6,-16.59,-0.010
139,02_140,[2+2+2]intramolecular,50.831,54.84,-4.009,151.5,144.39,7.110,-100.669,-89.55,-11.119
