,Name,Type,b2k-plyp-DFT-forward,REF-forward,b2k-plyp-DELTA-forward,b2k-plyp-DFT-reverse,REF-reverse,b2k-plyp-DELTA-reverse,b2k-plyp-DFT-reaction,REF-reaction,b2k-plyp-DELTA-reaction
25,02_26,Diels-Alder,26.778,27.83,-1.052,43.409,47.79,-4.381,-16.632,-19.96,3.328
26,02_27,Diels-Alder,28.398,29.6,-1.202,45.591,50.22,-4.629,-17.194,-20.62,3.426
27,02_28,Diels-Alder,21.622,21.69,-0.068,32.665,38.32,-5.655,-11.043,-16.63,5.587
28,02_29,Diels-Alder,3.298,1.65,1.648,29.62,35.57,-5.950,-26.323,-33.92,7.597
29,02_30,Diels-Alder,9.722,7.98,1.742,49.34,55.02,-5.680,-39.618,-47.04,7.422
30,02_31,Diels-Alder,17.389,15.12,2.269,29.946,36.68,-6.734,-12.556,-21.56,9.004
31,02_32,Diels-Alder,8.169,6.61,1.559,48.513,54.79,-6.277,-40.344,-48.18,7.836
32,02_33,Diels-Alder,10.234,11.62,-1.386,47.001,53.25,-6.249,-36.767,-41.63,4.863
33,02_34,Diels-Alder,18.07,18.28,-0.210,28.233,30.48,-2.247,-10.163,-12.21,2.047
34,02_35,Diels-Alder,16.152,16.53,-0.378,27.694,29.81,-2.116,-11.542,-13.28,1.738
35,02_36,Diels-Alder,14.627,15.49,-0.863,31.811,33.65,-1.839,-17.183,-18.16,0.977
36,02_37,Diels-Alder,16.271,17.0,-0.729,32.274,34.43,-2.156,-16.003,-17.43,1.427
37,02_38,Diels-Alder,19.181,22.73,-3.549,31.367,36.09,-4.723,-12.186,-13.36,1.174
38,02_39,Diels-Alder,34.245,37.42,-3.175,34.852,39.32,-4.468,-0.607,-1.9,1.293
39,02_40,Diels-Alder,15.874,14.26,1.614,22.51,27.77,-5.260,-6.636,-13.51,6.874
40,02_41,Diels-Alder,30.75,28.06,2.690,26.195,31.78,-5.585,4.555,-3.72,8.275
41,02_42,Diels-Alder,8.075,8.58,-0.505,43.568,47.74,-4.172,-35.492,-39.15,3.658
42,02_43,Diels-Alder,16.445,16.35,0.095,44.79,48.76,-3.970,-28.344,-32.41,4.066
43,02_44,Diels-Alder,16.235,16.64,-0.405,49.261,53.18,-3.919,-33.026,-36.54,3.514
44,02_45,Diels-Alder,15.896,16.98,-1.084,57.194,59.46,-2.266,-41.298,-42.48,1.182
45,02_46,Diels-Alder,25.738,26.48,-0.742,46.788,51.36,-4.572,-21.05,-24.88,3.830
46,02_47,Diels-Alder,-2.108,-1.34,-0.768,84.313,88.51,-4.197,-86.421,-89.85,3.429
47,02_48,Diels-Alder,0.166,1.98,-1.814,81.964,86.44,-4.476,-81.798,-84.47,2.672
48,02_49,Diels-Alder,13.062,13.95,-0.888,42.439,47.2,-4.761,-29.377,-33.24,3.863
49,02_50,[3+2]cycloaddition,18.23,18.44,-0.210,31.721,35.48,-3.759,-13.49,-17.04,3.550
50,02_51,[3+2]cycloaddition,-1.621,-1.95,0.329,20.96,24.26,-3.300,-22.581,-26.21,3.629
51,02_52,[3+2]cycloaddition,12.234,12.39,-0.156,31.911,36.11,-4.199,-19.677,-23.72,4.043
52,02_53,[3+2]cycloaddition,11.407,10.45,0.957,32.261,35.89,-3.629,-20.854,-25.44,4.586
53,02_54,[3+2]cycloaddition,2.089,-0.12,2.209,24.237,26.38,-2.143,-22.149,-26.5,4.351
54,02_55,[3+2]cycloaddition,12.104,12.65,-0.546,47.371,52.78,-5.409,-35.267,-40.12,4.853
55,02_56,[3+2]cycloaddition,11.248,11.6,-0.352,89.107,91.82,-2.713,-77.859,-80.21,2.351
56,02_57,[3+2]cycloaddition,8.023,8.1,-0.077,81.72,84.96,-3.240,-73.697,-76.87,3.173
57,02_58,[3+2]cycloaddition,15.101,15.43,-0.329,63.403,68.29,-4.887,-48.302,-52.86,4.558
58,02_59,[3+2]cycloaddition,15.321,15.3,0.021,63.233,67.99,-4.757,-47.913,-52.69,4.777
59,02_60,[3+2]cycloaddition,5.784,5.93,-0.146,83.467,86.94,-3.473,-77.683,-81.0,3.317
60,02_61,[3+2]cycloaddition,1.662,0.41,1.252,53.048,56.6,-3.552,-51.386,-56.19,4.804
61,02_62,[3+2]cycloaddition,5.224,3.87,1.354,54.936,58.42,-3.484,-49.712,-54.55,4.838
62,02_63,[3+2]cycloaddition,16.962,16.87,0.092,38.319,41.5,-3.181,-21.357,-24.63,3.273
63,02_64,[3+2]cycloaddition,5.062,5.38,-0.318,47.355,50.91,-3.555,-42.293,-45.54,3.247
64,02_65,[3+2]cycloaddition,7.877,8.08,-0.203,53.441,56.87,-3.429,-45.564,-48.79,3.226
65,02_66,[3+2]cycloaddition,7.011,6.79,0.221,52.364,55.77,-3.406,-45.353,-48.98,3.627
66,02_67,[3+2]cycloaddition,8.332,6.93,1.402,27.823,34.09,-6.267,-19.491,-27.16,7.669
67,02_68,[3+2]cycloaddition,10.516,8.7,1.816,28.834,35.15,-6.316,-18.318,-26.45,8.132
68,02_69,[3+2]cycloaddition,15.419,13.35,2.069,32.659,38.42,-5.761,-17.24,-25.07,7.830
69,02_70,[3+2]cycloaddition,35.155,33.3,1.855,35.932,41.8,-5.868,-0.778,-8.51,7.732
70,02_71,[3+2]cycloaddition,36.13,34.78,1.350,33.964,40.16,-6.196,2.166,-5.38,7.546
71,02_72,[3+2]cycloaddition,26.091,26.38,-0.289,45.283,51.44,-6.157,-19.192,-25.06,5.868
72,02_73,[3+2]cycloaddition,11.022,10.06,0.962,42.069,45.53,-3.461,-31.048,-35.47,4.422
73,02_74,[3+2]cycloaddition,26.509,27.86,-1.351,22.08,26.23,-4.150,4.429,1.63,2.799
74,02_75,[3+2]cycloaddition,11.061,9.79,1.271,38.242,41.83,-3.588,-27.182,-32.04,4.858
75,02_76,[3+2]cycloaddition,18.551,20.35,-1.799,32.865,37.37,-4.505,-14.314,-17.02,2.706
76,02_77,[3+2]cycloaddition,7.978,6.99,0.988,42.396,46.28,-3.884,-34.418,-39.3,4.882
77,02_78,[3+2]cycloaddition,17.49,19.13,-1.640,33.906,38.27,-4.364,-16.416,-19.14,2.724
78,02_79,[3+2]cycloaddition,2.782,1.94,0.842,38.379,42.25,-3.871,-35.597,-40.31,4.713
79,02_80,[3+2]cycloaddition,27.244,28.38,-1.136,37.44,41.25,-3.810,-10.196,-12.87,2.674
80,02_81,[3+2]cycloaddition,12.605,11.14,1.465,39.344,43.06,-3.716,-26.74,-31.92,5.180
81,02_82,Electrocyclic,10.969,10.61,0.359,33.737,37.95,-4.213,-22.768,-27.34,4.572
82,02_83,Electrocyclic,16.001,17.65,-1.649,46.477,44.98,1.497,-30.476,-27.33,-3.146
83,02_84,Electrocyclic,25.005,26.68,-1.675,47.873,50.51,-2.637,-22.868,-23.83,0.962
84,02_85,Electrocyclic,29.073,30.66,-1.587,48.8,51.43,-2.630,-19.728,-20.78,1.052
85,02_86,Electrocyclic,26.546,27.74,-1.194,50.744,52.7,-1.956,-24.198,-24.96,0.762
86,02_87,Electrocyclic,29.38,30.73,-1.350,51.352,53.65,-2.298,-21.972,-22.91,0.938
87,02_88,Electrocyclic,22.799,24.91,-2.111,48.849,51.36,-2.511,-26.05,-26.45,0.400
88,02_89,Electrocyclic,26.449,28.62,-2.171,50.314,52.88,-2.566,-23.865,-24.26,0.395
89,02_90,Electrocyclic,25.532,27.43,-1.898,49.598,52.17,-2.572,-24.067,-24.74,0.673
90,02_91,Electrocyclic,29.177,31.0,-1.823,52.05,54.55,-2.500,-22.873,-23.55,0.677
91,02_92,Electrocyclic,21.177,23.66,-2.483,51.046,53.48,-2.434,-29.869,-29.82,-0.049
92,02_93,Electrocyclic,26.353,28.69,-2.337,52.683,54.95,-2.267,-26.331,-26.26,-0.071
93,02_94,Electrocyclic,23.092,25.6,-2.508,51.959,54.46,-2.501,-28.867,-28.86,-0.007
94,02_95,Electrocyclic,25.498,28.02,-2.522,53.367,55.88,-2.513,-27.869,-27.86,-0.009
95,02_96,Electrocyclic,9.728,11.39,-1.662,15.791,15.19,0.601,-6.063,-3.8,-2.263
96,02_97,Electrocyclic,42.5,43.52,-1.020,20.768,21.76,-0.992,21.732,21.76,-0.028
97,02_98,Electrocyclic,32.296,33.08,-0.784,46.508,45.42,1.088,-14.213,-12.34,-1.873
98,02_99,Electrocyclic,44.656,44.28,0.376,56.396,54.35,2.046,-11.739,-10.07,-1.669
99,02_100,Electrocyclic,35.492,36.07,-0.578,19.083,19.79,-0.707,16.41,16.28,0.130
100,02_101,Electrocyclic,41.879,41.8,0.079,46.774,45.81,0.964,-4.895,-4.01,-0.885
101,02_102,Electrocyclic,39.006,38.73,0.276,36.182,36.55,-0.368,2.824,2.18,0.644
102,02_103,Electrocyclic,36.533,36.24,0.293,36.353,36.68,-0.327,0.18,-0.44,0.620
103,02_104,Electrocyclic,12.021,13.1,-1.079,40.019,40.49,-0.471,-27.998,-27.39,-0.608
104,02_105,Electrocyclic,49.603,48.25,1.353,42.433,42.24,0.193,7.17,6.01,1.160
105,02_106,[4+6]cycloaddition,9.856,11.53,-1.674,19.037,29.79,-10.753,-9.181,-18.26,9.079
106,02_107,[6+4]cycloaddition,9.856,11.53,-1.674,25.837,36.38,-10.543,-15.981,-24.85,8.869
107,02_108,[8+2]cycloaddition,9.856,11.53,-1.674,25.611,35.01,-9.399,-15.755,-23.48,7.725
108,02_109,"[3,3]rearrangement",42.594,43.45,-0.856,50.23,50.58,-0.350,-7.635,-7.13,-0.505
109,02_110,"[3,3]rearrangement",42.594,43.45,-0.856,55.827,57.37,-1.543,-13.233,-13.92,0.687
110,02_111,"[3,3]rearrangement",35.856,36.96,-1.104,49.504,51.17,-1.666,-13.648,-14.22,0.572
111,02_112,[4+6]cycloaddition,10.868,12.84,-1.972,19.723,31.12,-11.397,-8.856,-18.28,9.424
112,02_113,[6+4]cycloaddition,10.868,12.84,-1.972,25.609,36.75,-11.141,-14.742,-23.91,9.168
113,02_114,[8+2]cycloaddition,10.868,12.84,-1.972,27.289,37.94,-10.651,-16.421,-25.1,8.679
114,02_115,[4+6]cycloaddition,10.678,11.83,-1.152,19.534,30.11,-10.576,-8.856,-18.28,9.424
115,02_116,[6+4]cycloaddition,10.678,11.83,-1.152,25.45,35.81,-10.360,-14.772,-23.98,9.208
116,02_117,[8+2]cycloaddition,10.678,11.83,-1.152,30.973,40.21,-9.237,-20.295,-28.38,8.085
117,02_118,[4+2]intramolecular,18.641,22.52,-3.879,34.369,41.61,-7.241,-15.728,-19.09,3.362
118,02_119,[6+4]intramolecular,14.918,18.91,-3.992,39.577,47.58,-8.003,-24.659,-28.67,4.011
119,02_120,[4+2]intramolecular,12.467,16.79,-4.323,35.144,43.12,-7.976,-22.676,-26.33,3.654
120,02_121,[6+4]intramolecular,12.467,16.79,-4.323,46.624,54.33,-7.706,-34.157,-37.54,3.383
121,02_122,[4+2]intramolecular,14.538,19.29,-4.752,27.761,37.46,-9.699,-13.223,-18.17,4.947
122,02_123,[6+4]intramolecular,14.538,19.29,-4.752,33.381,41.95,-8.569,-18.843,-22.66,3.817
123,02_124,[4+2]intramolecular,17.686,21.68,-3.994,38.774,46.02,-7.246,-21.088,-24.34,3.252
124,02_125,[6+4]intramolecular,17.686,21.68,-3.994,40.17,47.32,-7.150,-22.484,-25.64,3.156
125,02_126,"[3,3]rearrangement",16.525,20.25,-3.725,21.733,26.19,-4.457,-5.208,-5.95,0.742
126,02_127,"[3,3]rearrangement",16.455,20.95,-4.495,27.935,32.16,-4.225,-11.48,-11.21,-0.270
127,02_128,"[3,3]rearrangement",29.654,32.74,-3.086,39.568,41.45,-1.882,-9.914,-8.71,-1.204
128,02_129,"[3,3]rearrangement",31.454,34.42,-2.966,37.219,40.15,-2.931,-5.765,-5.73,-0.035
129,02_130,"[3,3]rearrangement",32.036,35.4,-3.364,40.297,43.32,-3.023,-8.261,-7.92,-0.341
130,02_131,"[3,3]rearrangement",28.494,32.39,-3.896,40.759,43.38,-2.621,-12.265,-10.99,-1.275
131,02_132,"[3,3]rearrangement",29.789,32.92,-3.131,38.193,41.1,-2.907,-8.404,-8.18,-0.224
132,02_133,"[3,3]rearrangement",30.28,33.84,-3.560,41.851,44.83,-2.979,-11.572,-10.99,-0.582
133,02_134,"[3,3]rearrangement",30.391,32.08,-1.689,48.12,49.61,-1.490,-17.729,-17.53,-0.199
134,02_135,"[3,3]rearrangement",26.055,28.35,-2.295,41.454,44.42,-2.966,-15.399,-16.07,0.671
135,02_136,"[3,3]rearrangement",27.238,29.79,-2.552,43.392,45.83,-2.438,-16.153,-16.04,-0.113
136,02_137,"[3,3]rearrangement",23.275,25.98,-2.705,38.064,41.35,-3.286,-14.789,-15.37,0.581
137,02_138,"[3,3]rearrangement",29.534,31.94,-2.406,23.641,28.09,-4.449,5.893,3.85,2.043
138,02_139,"[3,3]rearrangement",32.708,34.37,-1.662,48.998,50.96,-1.962,-16.29,-16.59,0.300
139,02_140,[2+2+2]intramolecular,53.578,54.84,-1.262,145.25,144.39,0.860,-91.673,-89.55,-2.123
