,Name,Type,wb97m-v-DFT-forward,REF-forward,wb97m-v-DELTA-forward,wb97m-v-DFT-reverse,REF-reverse,wb97m-v-DELTA-reverse,wb97m-v-DFT-reaction,REF-reaction,wb97m-v-DELTA-reaction
64,02_65,[3+2]cycloaddition,8.044,8.08,-0.036,55.654,56.87,-1.216,-47.61,-48.79,1.180
65,02_66,[3+2]cycloaddition,5.84,6.79,-0.950,54.0,55.77,-1.770,-48.16,-48.98,0.820
66,02_67,[3+2]cycloaddition,6.788,6.93,-0.142,36.822,34.09,2.732,-30.034,-27.16,-2.874
67,02_68,[3+2]cycloaddition,8.608,8.7,-0.092,37.773,35.15,2.623,-29.165,-26.45,-2.715
68,02_69,[3+2]cycloaddition,13.476,13.35,0.126,41.086,38.42,2.666,-27.61,-25.07,-2.540
69,02_70,[3+2]cycloaddition,33.92,33.3,0.620,44.323,41.8,2.523,-10.403,-8.51,-1.893
70,02_71,[3+2]cycloaddition,35.368,34.78,0.588,42.697,40.16,2.537,-7.329,-5.38,-1.949
71,02_72,[3+2]cycloaddition,29.424,26.38,3.044,53.668,51.44,2.228,-24.244,-25.06,0.816
72,02_73,[3+2]cycloaddition,9.443,10.06,-0.617,46.322,45.53,0.792,-36.879,-35.47,-1.409
73,02_74,[3+2]cycloaddition,27.499,27.86,-0.361,27.032,26.23,0.802,0.468,1.63,-1.162
74,02_75,[3+2]cycloaddition,9.219,9.79,-0.571,42.66,41.83,0.830,-33.441,-32.04,-1.401
75,02_76,[3+2]cycloaddition,20.82,20.35,0.470,38.07,37.37,0.700,-17.25,-17.02,-0.230
76,02_77,[3+2]cycloaddition,6.44,6.99,-0.550,47.652,46.28,1.372,-41.212,-39.3,-1.912
77,02_78,[3+2]cycloaddition,19.9,19.13,0.770,39.182,38.27,0.912,-19.282,-19.14,-0.142
78,02_79,[3+2]cycloaddition,0.926,1.94,-1.014,43.067,42.25,0.817,-42.141,-40.31,-1.831
79,02_80,[3+2]cycloaddition,29.004,28.38,0.624,42.209,41.25,0.959,-13.205,-12.87,-0.335
80,02_81,[3+2]cycloaddition,10.482,11.14,-0.658,43.308,43.06,0.248,-32.826,-31.92,-0.906
81,02_82,Electrocyclic,10.097,10.61,-0.513,38.718,37.95,0.768,-28.622,-27.34,-1.282
82,02_83,Electrocyclic,16.93,17.65,-0.720,44.672,44.98,-0.308,-27.742,-27.33,-0.412
83,02_84,Electrocyclic,27.241,26.68,0.561,51.589,50.51,1.079,-24.348,-23.83,-0.518
84,02_85,Electrocyclic,30.946,30.66,0.286,52.669,51.43,1.239,-21.723,-20.78,-0.943
85,02_86,Electrocyclic,27.519,27.74,-0.221,53.175,52.7,0.475,-25.656,-24.96,-0.696
86,02_87,Electrocyclic,30.798,30.73,0.068,54.993,53.65,1.343,-24.196,-22.91,-1.286
87,02_88,Electrocyclic,25.656,24.91,0.746,52.402,51.36,1.042,-26.746,-26.45,-0.296
88,02_89,Electrocyclic,28.987,28.62,0.367,54.317,52.88,1.437,-25.33,-24.26,-1.070
89,02_90,Electrocyclic,27.889,27.43,0.459,53.333,52.17,1.163,-25.444,-24.74,-0.704
90,02_91,Electrocyclic,31.222,31.0,0.222,55.943,54.55,1.393,-24.721,-23.55,-1.171
91,02_92,Electrocyclic,24.872,23.66,1.212,54.611,53.48,1.131,-29.739,-29.82,0.081
92,02_93,Electrocyclic,29.612,28.69,0.922,56.323,54.95,1.373,-26.711,-26.26,-0.451
93,02_94,Electrocyclic,26.945,25.6,1.345,55.713,54.46,1.253,-28.768,-28.86,0.092
94,02_95,Electrocyclic,29.067,28.02,1.047,57.418,55.88,1.538,-28.35,-27.86,-0.490
95,02_96,Electrocyclic,10.85,11.39,-0.540,15.181,15.19,-0.009,-4.331,-3.8,-0.531
96,02_97,Electrocyclic,44.282,43.52,0.762,21.578,21.76,-0.182,22.704,21.76,0.944
97,02_98,Electrocyclic,34.015,33.08,0.935,45.656,45.42,0.236,-11.641,-12.34,0.699
98,02_99,Electrocyclic,45.985,44.28,1.705,55.185,54.35,0.835,-9.2,-10.07,0.870
99,02_100,Electrocyclic,37.252,36.07,1.182,19.446,19.79,-0.344,17.806,16.28,1.526
100,02_101,Electrocyclic,43.703,41.8,1.903,47.278,45.81,1.468,-3.576,-4.01,0.434
101,02_102,Electrocyclic,39.688,38.73,0.958,38.192,36.55,1.642,1.496,2.18,-0.684
102,02_103,Electrocyclic,36.998,36.24,0.758,38.044,36.68,1.364,-1.046,-0.44,-0.606
103,02_104,Electrocyclic,12.322,13.1,-0.778,41.568,40.49,1.078,-29.247,-27.39,-1.857
104,02_105,Electrocyclic,49.887,48.25,1.637,44.109,42.24,1.869,5.778,6.01,-0.232
105,02_106,[4+6]cycloaddition,11.401,11.53,-0.129,31.601,29.79,1.811,-20.2,-18.26,-1.940
106,02_107,[6+4]cycloaddition,11.401,11.53,-0.129,37.753,36.38,1.373,-26.352,-24.85,-1.502
107,02_108,[8+2]cycloaddition,11.401,11.53,-0.129,36.473,35.01,1.463,-25.072,-23.48,-1.592
108,02_109,"[3,3]rearrangement",46.405,43.45,2.955,53.119,50.58,2.539,-6.713,-7.13,0.417
109,02_110,"[3,3]rearrangement",46.405,43.45,2.955,58.857,57.37,1.487,-12.452,-13.92,1.468
110,02_111,"[3,3]rearrangement",40.978,36.96,4.018,53.991,51.17,2.821,-13.013,-14.22,1.207
111,02_112,[4+6]cycloaddition,12.035,12.84,-0.805,32.478,31.12,1.358,-20.444,-18.28,-2.164
112,02_113,[6+4]cycloaddition,12.035,12.84,-0.805,37.514,36.75,0.764,-25.479,-23.91,-1.569
113,02_114,[8+2]cycloaddition,12.035,12.84,-0.805,39.536,37.94,1.596,-27.502,-25.1,-2.402
114,02_115,[4+6]cycloaddition,11.903,11.83,0.073,32.347,30.11,2.237,-20.444,-18.28,-2.164
115,02_116,[6+4]cycloaddition,11.903,11.83,0.073,37.483,35.81,1.673,-25.579,-23.98,-1.599
116,02_117,[8+2]cycloaddition,11.903,11.83,0.073,42.768,40.21,2.558,-30.865,-28.38,-2.485
117,02_118,[4+2]intramolecular,23.756,22.52,1.236,45.923,41.61,4.313,-22.167,-19.09,-3.077
118,02_119,[6+4]intramolecular,20.318,18.91,1.408,50.429,47.58,2.849,-30.112,-28.67,-1.442
119,02_120,[4+2]intramolecular,18.056,16.79,1.266,46.082,43.12,2.962,-28.026,-26.33,-1.696
120,02_121,[6+4]intramolecular,18.056,16.79,1.266,57.202,54.33,2.872,-39.146,-37.54,-1.606
121,02_122,[4+2]intramolecular,21.012,19.29,1.722,41.868,37.46,4.408,-20.856,-18.17,-2.686
122,02_123,[6+4]intramolecular,21.012,19.29,1.722,46.056,41.95,4.106,-25.044,-22.66,-2.384
123,02_124,[4+2]intramolecular,23.329,21.68,1.649,48.812,46.02,2.792,-25.483,-24.34,-1.143
124,02_125,[6+4]intramolecular,23.329,21.68,1.649,49.601,47.32,2.281,-26.272,-25.64,-0.632
125,02_126,"[3,3]rearrangement",23.213,20.25,2.963,27.719,26.19,1.529,-4.506,-5.95,1.444
126,02_127,"[3,3]rearrangement",23.104,20.95,2.154,34.224,32.16,2.064,-11.12,-11.21,0.090
127,02_128,"[3,3]rearrangement",33.317,32.74,0.577,44.259,41.45,2.809,-10.942,-8.71,-2.232
128,02_129,"[3,3]rearrangement",35.294,34.42,0.874,42.641,40.15,2.491,-7.347,-5.73,-1.617
129,02_130,"[3,3]rearrangement",36.39,35.4,0.990,46.136,43.32,2.816,-9.746,-7.92,-1.826
130,02_131,"[3,3]rearrangement",32.24,32.39,-0.150,45.925,43.38,2.545,-13.685,-10.99,-2.695
131,02_132,"[3,3]rearrangement",33.626,32.92,0.706,43.99,41.1,2.890,-10.364,-8.18,-2.184
132,02_133,"[3,3]rearrangement",34.764,33.84,0.924,48.064,44.83,3.234,-13.3,-10.99,-2.310
133,02_134,"[3,3]rearrangement",33.022,32.08,0.942,50.514,49.61,0.904,-17.492,-17.53,0.038
134,02_135,"[3,3]rearrangement",29.554,28.35,1.204,45.751,44.42,1.331,-16.197,-16.07,-0.127
135,02_136,"[3,3]rearrangement",30.817,29.79,1.027,46.837,45.83,1.007,-16.02,-16.04,0.020
136,02_137,"[3,3]rearrangement",27.361,25.98,1.381,42.741,41.35,1.391,-15.38,-15.37,-0.010
137,02_138,"[3,3]rearrangement",32.796,31.94,0.856,28.948,28.09,0.858,3.848,3.85,-0.002
138,02_139,"[3,3]rearrangement",35.744,34.37,1.374,52.846,50.96,1.886,-17.101,-16.59,-0.511
139,02_140,[2+2+2]intramolecular,55.917,54.84,1.077,150.113,144.39,5.723,-94.196,-89.55,-4.646
