,Name,Type,m062x-DFT-forward,REF-forward,m062x-DELTA-forward,m062x-DFT-reverse,REF-reverse,m062x-DELTA-reverse,m062x-DFT-reaction,REF-reaction,m062x-DELTA-reaction
66,02_67,[3+2]cycloaddition,10.149,6.93,3.219,33.674,34.09,-0.416,-23.525,-27.16,3.635
67,02_68,[3+2]cycloaddition,11.895,8.7,3.195,34.47,35.15,-0.680,-22.575,-26.45,3.875
68,02_69,[3+2]cycloaddition,16.856,13.35,3.506,38.779,38.42,0.359,-21.923,-25.07,3.147
69,02_70,[3+2]cycloaddition,39.17,33.3,5.870,40.578,41.8,-1.222,-1.408,-8.51,7.102
70,02_71,[3+2]cycloaddition,40.621,34.78,5.841,38.63,40.16,-1.530,1.991,-5.38,7.371
71,02_72,[3+2]cycloaddition,30.837,26.38,4.457,49.944,51.44,-1.496,-19.107,-25.06,5.953
72,02_73,[3+2]cycloaddition,11.048,10.06,0.988,44.316,45.53,-1.214,-33.268,-35.47,2.202
73,02_74,[3+2]cycloaddition,29.492,27.86,1.632,25.231,26.23,-0.999,4.261,1.63,2.631
74,02_75,[3+2]cycloaddition,11.002,9.79,1.212,40.703,41.83,-1.127,-29.7,-32.04,2.340
75,02_76,[3+2]cycloaddition,22.587,20.35,2.237,35.558,37.37,-1.812,-12.971,-17.02,4.049
76,02_77,[3+2]cycloaddition,8.464,6.99,1.474,45.598,46.28,-0.682,-37.134,-39.3,2.166
77,02_78,[3+2]cycloaddition,21.865,19.13,2.735,36.568,38.27,-1.702,-14.703,-19.14,4.437
78,02_79,[3+2]cycloaddition,2.953,1.94,1.013,40.717,42.25,-1.533,-37.764,-40.31,2.546
79,02_80,[3+2]cycloaddition,29.889,28.38,1.509,39.702,41.25,-1.548,-9.814,-12.87,3.056
80,02_81,[3+2]cycloaddition,12.05,11.14,0.910,41.575,43.06,-1.485,-29.525,-31.92,2.395
81,02_82,Electrocyclic,10.928,10.61,0.318,36.025,37.95,-1.925,-25.096,-27.34,2.244
82,02_83,Electrocyclic,15.728,17.65,-1.922,47.556,44.98,2.576,-31.829,-27.33,-4.499
83,02_84,Electrocyclic,27.183,26.68,0.503,49.714,50.51,-0.796,-22.531,-23.83,1.299
84,02_85,Electrocyclic,31.092,30.66,0.432,50.883,51.43,-0.547,-19.791,-20.78,0.989
85,02_86,Electrocyclic,28.421,27.74,0.681,52.211,52.7,-0.489,-23.79,-24.96,1.170
86,02_87,Electrocyclic,30.801,30.73,0.071,53.056,53.65,-0.594,-22.256,-22.91,0.654
87,02_88,Electrocyclic,25.294,24.91,0.384,50.674,51.36,-0.686,-25.38,-26.45,1.070
88,02_89,Electrocyclic,28.723,28.62,0.103,52.564,52.88,-0.316,-23.841,-24.26,0.419
89,02_90,Electrocyclic,27.99,27.43,0.560,51.498,52.17,-0.672,-23.508,-24.74,1.232
90,02_91,Electrocyclic,31.356,31.0,0.356,54.218,54.55,-0.332,-22.861,-23.55,0.689
91,02_92,Electrocyclic,24.194,23.66,0.534,53.06,53.48,-0.420,-28.866,-29.82,0.954
92,02_93,Electrocyclic,29.187,28.69,0.497,54.388,54.95,-0.562,-25.201,-26.26,1.059
93,02_94,Electrocyclic,25.827,25.6,0.227,53.755,54.46,-0.705,-27.928,-28.86,0.932
94,02_95,Electrocyclic,28.391,28.02,0.371,55.63,55.88,-0.250,-27.239,-27.86,0.621
95,02_96,Electrocyclic,9.892,11.39,-1.498,16.693,15.19,1.503,-6.801,-3.8,-3.001
96,02_97,Electrocyclic,43.012,43.52,-0.508,22.814,21.76,1.054,20.198,21.76,-1.562
97,02_98,Electrocyclic,33.476,33.08,0.396,47.167,45.42,1.747,-13.69,-12.34,-1.350
98,02_99,Electrocyclic,45.542,44.28,1.262,56.816,54.35,2.466,-11.274,-10.07,-1.204
99,02_100,Electrocyclic,36.319,36.07,0.249,20.238,19.79,0.448,16.081,16.28,-0.199
100,02_101,Electrocyclic,43.438,41.8,1.638,48.012,45.81,2.202,-4.574,-4.01,-0.564
101,02_102,Electrocyclic,40.55,38.73,1.820,37.783,36.55,1.233,2.767,2.18,0.587
102,02_103,Electrocyclic,38.247,36.24,2.007,37.536,36.68,0.856,0.711,-0.44,1.151
103,02_104,Electrocyclic,13.974,13.1,0.874,41.035,40.49,0.545,-27.06,-27.39,0.330
104,02_105,Electrocyclic,51.098,48.25,2.848,43.842,42.24,1.602,7.257,6.01,1.247
105,02_106,[4+6]cycloaddition,11.273,11.53,-0.257,24.392,29.79,-5.398,-13.119,-18.26,5.141
106,02_107,[6+4]cycloaddition,11.273,11.53,-0.257,31.887,36.38,-4.493,-20.614,-24.85,4.236
107,02_108,[8+2]cycloaddition,11.273,11.53,-0.257,29.912,35.01,-5.098,-18.639,-23.48,4.841
108,02_109,"[3,3]rearrangement",45.828,43.45,2.378,53.49,50.58,2.910,-7.662,-7.13,-0.532
109,02_110,"[3,3]rearrangement",45.828,43.45,2.378,57.916,57.37,0.546,-12.088,-13.92,1.832
110,02_111,"[3,3]rearrangement",40.318,36.96,3.358,52.881,51.17,1.711,-12.563,-14.22,1.657
111,02_112,[4+6]cycloaddition,12.279,12.84,-0.561,25.568,31.12,-5.552,-13.289,-18.28,4.991
112,02_113,[6+4]cycloaddition,12.279,12.84,-0.561,31.856,36.75,-4.894,-19.578,-23.91,4.332
113,02_114,[8+2]cycloaddition,12.279,12.84,-0.561,33.165,37.94,-4.775,-20.886,-25.1,4.214
114,02_115,[4+6]cycloaddition,12.082,11.83,0.252,25.371,30.11,-4.739,-13.289,-18.28,4.991
115,02_116,[6+4]cycloaddition,12.082,11.83,0.252,31.721,35.81,-4.089,-19.64,-23.98,4.340
116,02_117,[8+2]cycloaddition,12.082,11.83,0.252,35.897,40.21,-4.313,-23.815,-28.38,4.565
117,02_118,[4+2]intramolecular,23.096,22.52,0.576,39.447,41.61,-2.163,-16.35,-19.09,2.740
118,02_119,[6+4]intramolecular,19.414,18.91,0.504,44.658,47.58,-2.922,-25.244,-28.67,3.426
119,02_120,[4+2]intramolecular,17.317,16.79,0.527,40.019,43.12,-3.101,-22.702,-26.33,3.628
120,02_121,[6+4]intramolecular,17.317,16.79,0.527,51.542,54.33,-2.788,-34.225,-37.54,3.315
121,02_122,[4+2]intramolecular,19.93,19.29,0.640,34.607,37.46,-2.853,-14.677,-18.17,3.493
122,02_123,[6+4]intramolecular,19.93,19.29,0.640,39.225,41.95,-2.725,-19.296,-22.66,3.364
123,02_124,[4+2]intramolecular,23.291,21.68,1.611,43.128,46.02,-2.892,-19.837,-24.34,4.503
124,02_125,[6+4]intramolecular,23.291,21.68,1.611,44.733,47.32,-2.587,-21.442,-25.64,4.198
125,02_126,"[3,3]rearrangement",19.99,20.25,-0.260,25.201,26.19,-0.989,-5.211,-5.95,0.739
126,02_127,"[3,3]rearrangement",20.155,20.95,-0.795,31.677,32.16,-0.483,-11.523,-11.21,-0.313
127,02_128,"[3,3]rearrangement",31.562,32.74,-1.178,42.101,41.45,0.651,-10.54,-8.71,-1.830
128,02_129,"[3,3]rearrangement",33.235,34.42,-1.185,39.76,40.15,-0.390,-6.525,-5.73,-0.795
129,02_130,"[3,3]rearrangement",34.13,35.4,-1.270,43.7,43.32,0.380,-9.57,-7.92,-1.650
130,02_131,"[3,3]rearrangement",30.534,32.39,-1.856,43.691,43.38,0.311,-13.157,-10.99,-2.167
131,02_132,"[3,3]rearrangement",31.598,32.92,-1.322,40.871,41.1,-0.229,-9.273,-8.18,-1.093
132,02_133,"[3,3]rearrangement",32.479,33.84,-1.361,45.144,44.83,0.314,-12.665,-10.99,-1.675
133,02_134,"[3,3]rearrangement",33.623,32.08,1.543,48.762,49.61,-0.848,-15.139,-17.53,2.391
134,02_135,"[3,3]rearrangement",30.81,28.35,2.460,43.974,44.42,-0.446,-13.164,-16.07,2.906
135,02_136,"[3,3]rearrangement",32.048,29.79,2.258,45.777,45.83,-0.053,-13.729,-16.04,2.311
136,02_137,"[3,3]rearrangement",28.861,25.98,2.881,41.258,41.35,-0.092,-12.397,-15.37,2.973
137,02_138,"[3,3]rearrangement",33.832,31.94,1.892,26.642,28.09,-1.448,7.19,3.85,3.340
138,02_139,"[3,3]rearrangement",36.673,34.37,2.303,50.892,50.96,-0.068,-14.22,-16.59,2.370
139,02_140,[2+2+2]intramolecular,57.226,54.84,2.386,144.743,144.39,0.353,-87.516,-89.55,2.034
