,Name,Type,rsx-qidh-DFT-forward,REF-forward,rsx-qidh-DELTA-forward,rsx-qidh-DFT-reverse,REF-reverse,rsx-qidh-DELTA-reverse,rsx-qidh-DFT-reaction,REF-reaction,rsx-qidh-DELTA-reaction
75,02_76,[3+2]cycloaddition,17.34,20.35,-3.010,45.249,37.37,7.879,-27.909,-17.02,-10.889
76,02_77,[3+2]cycloaddition,4.378,6.99,-2.612,55.45,46.28,9.170,-51.073,-39.3,-11.773
77,02_78,[3+2]cycloaddition,15.93,19.13,-3.200,46.484,38.27,8.214,-30.555,-19.14,-11.415
78,02_79,[3+2]cycloaddition,-0.583,1.94,-2.523,51.071,42.25,8.821,-51.654,-40.31,-11.344
79,02_80,[3+2]cycloaddition,25.787,28.38,-2.593,49.638,41.25,8.388,-23.852,-12.87,-10.982
80,02_81,[3+2]cycloaddition,8.274,11.14,-2.866,51.416,43.06,8.356,-43.142,-31.92,-11.222
81,02_82,Electrocyclic,8.603,10.61,-2.007,46.937,37.95,8.987,-38.334,-27.34,-10.994
82,02_83,Electrocyclic,21.055,17.65,3.405,47.145,44.98,2.165,-26.09,-27.33,1.240
83,02_84,Electrocyclic,25.49,26.68,-1.190,56.593,50.51,6.083,-31.103,-23.83,-7.273
84,02_85,Electrocyclic,29.413,30.66,-1.247,57.573,51.43,6.143,-28.16,-20.78,-7.380
85,02_86,Electrocyclic,27.15,27.74,-0.590,59.325,52.7,6.625,-32.175,-24.96,-7.215
86,02_87,Electrocyclic,29.826,30.73,-0.904,60.006,53.65,6.356,-30.18,-22.91,-7.270
87,02_88,Electrocyclic,23.301,24.91,-1.609,57.528,51.36,6.168,-34.227,-26.45,-7.777
88,02_89,Electrocyclic,26.713,28.62,-1.907,59.089,52.88,6.209,-32.376,-24.26,-8.116
89,02_90,Electrocyclic,26.372,27.43,-1.058,58.211,52.17,6.041,-31.839,-24.74,-7.099
90,02_91,Electrocyclic,29.843,31.0,-1.157,60.706,54.55,6.156,-30.864,-23.55,-7.314
91,02_92,Electrocyclic,21.806,23.66,-1.854,59.535,53.48,6.055,-37.73,-29.82,-7.910
92,02_93,Electrocyclic,27.211,28.69,-1.479,61.204,54.95,6.254,-33.992,-26.26,-7.732
93,02_94,Electrocyclic,23.721,25.6,-1.879,60.48,54.46,6.020,-36.758,-28.86,-7.898
94,02_95,Electrocyclic,26.042,28.02,-1.978,62.039,55.88,6.159,-35.998,-27.86,-8.138
95,02_96,Electrocyclic,14.395,11.39,3.005,15.172,15.19,-0.018,-0.777,-3.8,3.023
96,02_97,Electrocyclic,48.904,43.52,5.384,21.241,21.76,-0.519,27.663,21.76,5.903
97,02_98,Electrocyclic,38.163,33.08,5.083,45.551,45.42,0.131,-7.388,-12.34,4.952
98,02_99,Electrocyclic,51.179,44.28,6.899,56.198,54.35,1.848,-5.018,-10.07,5.052
99,02_100,Electrocyclic,41.318,36.07,5.248,17.41,19.79,-2.380,23.908,16.28,7.628
100,02_101,Electrocyclic,48.543,41.8,6.743,46.67,45.81,0.860,1.873,-4.01,5.883
101,02_102,Electrocyclic,38.891,38.73,0.161,42.701,36.55,6.151,-3.81,2.18,-5.990
102,02_103,Electrocyclic,36.427,36.24,0.187,42.636,36.68,5.956,-6.209,-0.44,-5.769
103,02_104,Electrocyclic,10.399,13.1,-2.701,46.551,40.49,6.061,-36.152,-27.39,-8.762
104,02_105,Electrocyclic,49.539,48.25,1.289,48.933,42.24,6.693,0.606,6.01,-5.404
105,02_106,[4+6]cycloaddition,5.822,11.53,-5.708,35.171,29.79,5.381,-29.349,-18.26,-11.089
106,02_107,[6+4]cycloaddition,5.822,11.53,-5.708,41.976,36.38,5.596,-36.154,-24.85,-11.304
107,02_108,[8+2]cycloaddition,5.822,11.53,-5.708,40.281,35.01,5.271,-34.458,-23.48,-10.978
108,02_109,"[3,3]rearrangement",44.368,43.45,0.918,54.206,50.58,3.626,-9.838,-7.13,-2.708
109,02_110,"[3,3]rearrangement",44.368,43.45,0.918,57.534,57.37,0.164,-13.166,-13.92,0.754
110,02_111,"[3,3]rearrangement",37.927,36.96,0.967,51.765,51.17,0.595,-13.837,-14.22,0.383
111,02_112,[4+6]cycloaddition,6.7,12.84,-6.140,35.774,31.12,4.654,-29.074,-18.28,-10.794
112,02_113,[6+4]cycloaddition,6.7,12.84,-6.140,41.637,36.75,4.887,-34.937,-23.91,-11.027
113,02_114,[8+2]cycloaddition,6.7,12.84,-6.140,42.139,37.94,4.199,-35.439,-25.1,-10.339
114,02_115,[4+6]cycloaddition,6.552,11.83,-5.278,35.626,30.11,5.516,-29.074,-18.28,-10.794
115,02_116,[6+4]cycloaddition,6.552,11.83,-5.278,41.553,35.81,5.743,-35.001,-23.98,-11.021
116,02_117,[8+2]cycloaddition,6.552,11.83,-5.278,45.431,40.21,5.221,-38.879,-28.38,-10.499
117,02_118,[4+2]intramolecular,18.203,22.52,-4.317,51.453,41.61,9.843,-33.25,-19.09,-14.160
118,02_119,[6+4]intramolecular,14.618,18.91,-4.292,56.79,47.58,9.210,-42.173,-28.67,-13.503
119,02_120,[4+2]intramolecular,12.041,16.79,-4.749,52.125,43.12,9.005,-40.084,-26.33,-13.754
120,02_121,[6+4]intramolecular,12.042,16.79,-4.748,63.824,54.33,9.494,-51.782,-37.54,-14.242
121,02_122,[4+2]intramolecular,14.664,19.29,-4.626,45.907,37.46,8.447,-31.243,-18.17,-13.073
122,02_123,[6+4]intramolecular,14.664,19.29,-4.626,50.815,41.95,8.865,-36.151,-22.66,-13.491
123,02_124,[4+2]intramolecular,16.61,21.68,-5.070,54.473,46.02,8.453,-37.863,-24.34,-13.523
124,02_125,[6+4]intramolecular,16.61,21.68,-5.070,55.887,47.32,8.567,-39.277,-25.64,-13.637
125,02_126,"[3,3]rearrangement",22.785,20.25,2.535,28.122,26.19,1.932,-5.337,-5.95,0.613
126,02_127,"[3,3]rearrangement",22.964,20.95,2.014,34.662,32.16,2.502,-11.698,-11.21,-0.488
127,02_128,"[3,3]rearrangement",35.094,32.74,2.354,44.556,41.45,3.106,-9.462,-8.71,-0.752
128,02_129,"[3,3]rearrangement",37.855,34.42,3.435,43.378,40.15,3.228,-5.523,-5.73,0.207
129,02_130,"[3,3]rearrangement",38.212,35.4,2.812,46.594,43.32,3.274,-8.382,-7.92,-0.462
130,02_131,"[3,3]rearrangement",33.709,32.39,1.319,45.973,43.38,2.593,-12.263,-10.99,-1.273
131,02_132,"[3,3]rearrangement",35.827,32.92,2.907,44.237,41.1,3.137,-8.41,-8.18,-0.230
132,02_133,"[3,3]rearrangement",36.035,33.84,2.195,48.15,44.83,3.320,-12.115,-10.99,-1.125
133,02_134,"[3,3]rearrangement",35.511,32.08,3.431,53.808,49.61,4.198,-18.297,-17.53,-0.767
134,02_135,"[3,3]rearrangement",32.062,28.35,3.712,48.435,44.42,4.015,-16.373,-16.07,-0.303
135,02_136,"[3,3]rearrangement",34.25,29.79,4.460,51.25,45.83,5.420,-17.0,-16.04,-0.960
136,02_137,"[3,3]rearrangement",29.966,25.98,3.986,46.278,41.35,4.928,-16.312,-15.37,-0.942
137,02_138,"[3,3]rearrangement",36.167,31.94,4.227,30.289,28.09,2.199,5.877,3.85,2.027
138,02_139,"[3,3]rearrangement",37.939,34.37,3.569,55.885,50.96,4.925,-17.946,-16.59,-1.356
139,02_140,[2+2+2]intramolecular,53.216,54.84,-1.624,166.621,144.39,22.231,-113.405,-89.55,-23.855
