,Name,Type,wb2-plyp18-DFT-forward,REF-forward,wb2-plyp18-DELTA-forward,wb2-plyp18-DFT-reverse,REF-reverse,wb2-plyp18-DELTA-reverse,wb2-plyp18-DFT-reaction,REF-reaction,wb2-plyp18-DELTA-reaction
58,02_59,[3+2]cycloaddition,11.709,15.3,-3.591,68.574,67.99,0.584,-56.864,-52.69,-4.174
59,02_60,[3+2]cycloaddition,1.959,5.93,-3.971,89.853,86.94,2.913,-87.894,-81.0,-6.894
60,02_61,[3+2]cycloaddition,-2.036,0.41,-2.446,56.142,56.6,-0.458,-58.178,-56.19,-1.988
61,02_62,[3+2]cycloaddition,1.254,3.87,-2.616,57.844,58.42,-0.576,-56.59,-54.55,-2.040
62,02_63,[3+2]cycloaddition,15.908,16.87,-0.962,40.788,41.5,-0.712,-24.881,-24.63,-0.251
63,02_64,[3+2]cycloaddition,3.646,5.38,-1.734,50.083,50.91,-0.827,-46.437,-45.54,-0.897
64,02_65,[3+2]cycloaddition,6.15,8.08,-1.930,56.297,56.87,-0.573,-50.147,-48.79,-1.357
65,02_66,[3+2]cycloaddition,4.779,6.79,-2.011,55.354,55.77,-0.416,-50.576,-48.98,-1.596
66,02_67,[3+2]cycloaddition,3.813,6.93,-3.117,32.281,34.09,-1.809,-28.468,-27.16,-1.308
67,02_68,[3+2]cycloaddition,5.952,8.7,-2.748,33.14,35.15,-2.010,-27.188,-26.45,-0.738
68,02_69,[3+2]cycloaddition,10.663,13.35,-2.687,36.869,38.42,-1.551,-26.206,-25.07,-1.136
69,02_70,[3+2]cycloaddition,34.081,33.3,0.781,39.766,41.8,-2.034,-5.685,-8.51,2.825
70,02_71,[3+2]cycloaddition,35.408,34.78,0.628,37.753,40.16,-2.407,-2.345,-5.38,3.035
71,02_72,[3+2]cycloaddition,24.828,26.38,-1.552,49.522,51.44,-1.918,-24.694,-25.06,0.366
72,02_73,[3+2]cycloaddition,6.808,10.06,-3.252,45.055,45.53,-0.475,-38.247,-35.47,-2.777
73,02_74,[3+2]cycloaddition,25.232,27.86,-2.628,24.593,26.23,-1.637,0.639,1.63,-0.991
74,02_75,[3+2]cycloaddition,6.656,9.79,-3.134,41.217,41.83,-0.613,-34.562,-32.04,-2.522
75,02_76,[3+2]cycloaddition,17.545,20.35,-2.805,35.664,37.37,-1.706,-18.119,-17.02,-1.099
76,02_77,[3+2]cycloaddition,4.019,6.99,-2.971,46.042,46.28,-0.238,-42.023,-39.3,-2.723
77,02_78,[3+2]cycloaddition,16.374,19.13,-2.756,36.616,38.27,-1.654,-20.242,-19.14,-1.102
78,02_79,[3+2]cycloaddition,-1.204,1.94,-3.144,41.699,42.25,-0.551,-42.903,-40.31,-2.593
79,02_80,[3+2]cycloaddition,25.269,28.38,-3.111,40.171,41.25,-1.079,-14.902,-12.87,-2.032
80,02_81,[3+2]cycloaddition,8.063,11.14,-3.077,42.156,43.06,-0.904,-34.094,-31.92,-2.174
81,02_82,Electrocyclic,6.835,10.61,-3.775,37.276,37.95,-0.674,-30.441,-27.34,-3.101
82,02_83,Electrocyclic,16.448,17.65,-1.202,46.918,44.98,1.938,-30.47,-27.33,-3.140
83,02_84,Electrocyclic,24.498,26.68,-2.182,50.135,50.51,-0.375,-25.637,-23.83,-1.807
84,02_85,Electrocyclic,28.61,30.66,-2.050,51.065,51.43,-0.365,-22.455,-20.78,-1.675
85,02_86,Electrocyclic,25.661,27.74,-2.079,52.454,52.7,-0.246,-26.793,-24.96,-1.833
86,02_87,Electrocyclic,28.791,30.73,-1.939,53.646,53.65,-0.004,-24.855,-22.91,-1.945
87,02_88,Electrocyclic,22.448,24.91,-2.462,51.239,51.36,-0.121,-28.791,-26.45,-2.341
88,02_89,Electrocyclic,26.099,28.62,-2.521,52.748,52.88,-0.132,-26.649,-24.26,-2.389
89,02_90,Electrocyclic,25.275,27.43,-2.155,51.791,52.17,-0.379,-26.516,-24.74,-1.776
90,02_91,Electrocyclic,28.996,31.0,-2.004,54.265,54.55,-0.285,-25.269,-23.55,-1.719
91,02_92,Electrocyclic,20.769,23.66,-2.891,53.4,53.48,-0.080,-32.631,-29.82,-2.811
92,02_93,Electrocyclic,26.644,28.69,-2.046,55.072,54.95,0.122,-28.428,-26.26,-2.168
93,02_94,Electrocyclic,22.643,25.6,-2.957,54.246,54.46,-0.214,-31.603,-28.86,-2.743
94,02_95,Electrocyclic,25.172,28.02,-2.848,55.572,55.88,-0.308,-30.4,-27.86,-2.540
95,02_96,Electrocyclic,10.207,11.39,-1.183,16.119,15.19,0.929,-5.912,-3.8,-2.112
96,02_97,Electrocyclic,42.831,43.52,-0.689,21.233,21.76,-0.527,21.598,21.76,-0.162
97,02_98,Electrocyclic,33.372,33.08,0.292,45.914,45.42,0.494,-12.542,-12.34,-0.202
98,02_99,Electrocyclic,45.687,44.28,1.407,55.985,54.35,1.635,-10.298,-10.07,-0.228
99,02_100,Electrocyclic,36.379,36.07,0.309,18.659,19.79,-1.131,17.72,16.28,1.440
100,02_101,Electrocyclic,43.075,41.8,1.275,46.582,45.81,0.772,-3.507,-4.01,0.503
101,02_102,Electrocyclic,38.845,38.73,0.115,37.343,36.55,0.793,1.501,2.18,-0.679
102,02_103,Electrocyclic,36.539,36.24,0.299,37.333,36.68,0.653,-0.794,-0.44,-0.354
103,02_104,Electrocyclic,12.072,13.1,-1.028,40.869,40.49,0.379,-28.797,-27.39,-1.407
104,02_105,Electrocyclic,49.469,48.25,1.219,43.421,42.24,1.181,6.049,6.01,0.039
105,02_106,[4+6]cycloaddition,6.957,11.53,-4.573,24.273,29.79,-5.517,-17.317,-18.26,0.943
106,02_107,[6+4]cycloaddition,6.957,11.53,-4.573,31.756,36.38,-4.624,-24.799,-24.85,0.051
107,02_108,[8+2]cycloaddition,6.957,11.53,-4.573,30.176,35.01,-4.834,-23.219,-23.48,0.261
108,02_109,"[3,3]rearrangement",42.902,43.45,-0.548,50.606,50.58,0.026,-7.704,-7.13,-0.574
109,02_110,"[3,3]rearrangement",42.902,43.45,-0.548,56.145,57.37,-1.225,-13.243,-13.92,0.677
110,02_111,"[3,3]rearrangement",36.572,36.96,-0.388,50.37,51.17,-0.800,-13.798,-14.22,0.422
111,02_112,[4+6]cycloaddition,19.592,12.84,6.752,25.004,31.12,-6.116,-5.412,-18.28,12.868
112,02_113,[6+4]cycloaddition,7.97,12.84,-4.870,31.575,36.75,-5.175,-23.605,-23.91,0.305
113,02_114,[8+2]cycloaddition,7.97,12.84,-4.870,32.219,37.94,-5.721,-24.249,-25.1,0.851
114,02_115,[4+6]cycloaddition,7.739,11.83,-4.091,24.773,30.11,-5.337,-17.034,-18.28,1.246
115,02_116,[6+4]cycloaddition,7.739,11.83,-4.091,31.479,35.81,-4.331,-23.741,-23.98,0.239
116,02_117,[8+2]cycloaddition,7.739,11.83,-4.091,35.692,40.21,-4.518,-27.953,-28.38,0.427
117,02_118,[4+2]intramolecular,18.591,22.52,-3.929,40.025,41.61,-1.585,-21.434,-19.09,-2.344
118,02_119,[6+4]intramolecular,15.277,18.91,-3.633,45.161,47.58,-2.419,-29.884,-28.67,-1.214
119,02_120,[4+2]intramolecular,12.529,16.79,-4.261,40.56,43.12,-2.560,-28.031,-26.33,-1.701
120,02_121,[6+4]intramolecular,12.529,16.79,-4.261,51.727,54.33,-2.603,-39.199,-37.54,-1.659
121,02_122,[4+2]intramolecular,15.758,19.29,-3.532,34.238,37.46,-3.222,-18.48,-18.17,-0.310
122,02_123,[6+4]intramolecular,15.758,19.29,-3.532,39.473,41.95,-2.477,-23.714,-22.66,-1.054
123,02_124,[4+2]intramolecular,17.672,21.68,-4.008,43.575,46.02,-2.445,-25.903,-24.34,-1.563
124,02_125,[6+4]intramolecular,17.672,21.68,-4.008,45.101,47.32,-2.219,-27.429,-25.64,-1.789
125,02_126,"[3,3]rearrangement",18.835,20.25,-1.415,23.971,26.19,-2.219,-5.136,-5.95,0.814
126,02_127,"[3,3]rearrangement",18.868,20.95,-2.082,30.035,32.16,-2.125,-11.168,-11.21,0.042
127,02_128,"[3,3]rearrangement",30.125,32.74,-2.615,40.977,41.45,-0.473,-10.852,-8.71,-2.142
128,02_129,"[3,3]rearrangement",31.879,34.42,-2.541,38.984,40.15,-1.166,-7.106,-5.73,-1.376
129,02_130,"[3,3]rearrangement",33.25,35.4,-2.150,42.601,43.32,-0.719,-9.351,-7.92,-1.431
130,02_131,"[3,3]rearrangement",29.034,32.39,-3.356,42.364,43.38,-1.016,-13.33,-10.99,-2.340
131,02_132,"[3,3]rearrangement",30.261,32.92,-2.659,40.061,41.1,-1.039,-9.8,-8.18,-1.620
132,02_133,"[3,3]rearrangement",31.58,33.84,-2.260,44.476,44.83,-0.354,-12.896,-10.99,-1.906
133,02_134,"[3,3]rearrangement",31.121,32.08,-0.959,47.724,49.61,-1.886,-16.603,-17.53,0.927
134,02_135,"[3,3]rearrangement",27.368,28.35,-0.982,41.954,44.42,-2.466,-14.586,-16.07,1.484
135,02_136,"[3,3]rearrangement",28.836,29.79,-0.954,43.786,45.83,-2.044,-14.951,-16.04,1.089
136,02_137,"[3,3]rearrangement",24.933,25.98,-1.047,38.804,41.35,-2.546,-13.871,-15.37,1.499
137,02_138,"[3,3]rearrangement",30.901,31.94,-1.039,24.571,28.09,-3.519,6.33,3.85,2.480
138,02_139,"[3,3]rearrangement",33.315,34.37,-1.055,49.655,50.96,-1.305,-16.34,-16.59,0.250
139,02_140,[2+2+2]intramolecular,50.686,54.84,-4.154,150.962,144.39,6.572,-100.276,-89.55,-10.726
